Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-09-22T23:34:18.460,7,-0.007001195815295785,-0.5660613661579632,FoVP,0.588596471859285,0.7139879056740203,2456923.4855640093
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-09-23T01:20:52.701,6,-0.0020726098142833456,-0.5640153706084022,FoVF,0.5867273731452952,0.7160117694205441,2456923.5595661844
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-10-27T14:39:17.374,6,-0.004120081734163229,-1.0305987923050317,FoVP,0.7083083083982571,0.7105561777532772,2456958.1112956754
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-10-27T16:25:51.578,4,0.0012032429188619524,-1.0317203183128876,FoVF,0.7085071006547526,0.7102409408806579,2456958.185296606
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-12-03T09:58:30.229,2,0.0037411737060059217,-0.08931807545729976,FoVF,-0.4665379941286343,0.7031074013020281,2456994.9135646154
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-12-03T14:12:10.275,5,-0.0023682859849306005,-0.10097482304332558,FoVP,-0.4594363500745113,0.7063120423562368,2456995.089711687
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-12-03T15:58:44.423,7,-0.004886585674169183,-0.10589733423188304,FoVF,-0.45643514226884957,0.7076471275290476,2456995.1637134696
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-12-18T14:21:20.465,7,-0.0063595057019527135,-1.1969808161565387,FoVP,0.19661966806536899,0.7063640079717551,2457010.095272452
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-12-18T16:07:54.577,7,-0.004484343568235172,-1.2022035312621084,FoVF,0.19916418996943058,0.7050860484501281,2457010.1692750286
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2014-12-18T20:21:34.501,3,2.65701658537825E-5,-1.2146181677971153,FoVP,0.2051782739028344,0.7020134600706602,2457010.3454236137
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-02-23T04:12:10.988,3,0.003193287166675887,-2.3242164310406306,FoVF,-0.2220476674850256,0.7018611979929575,2457076.672247315
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-02-23T08:25:51.041,4,-0.001562576272153229,-2.336385448557803,FoVP,-0.21620877681317807,0.7050422123258112,2457076.8484133244
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-02-23T10:12:25.206,7,-0.003541514029416128,-2.341504924089041,FoVF,-0.2137382082475662,0.706366744509145,2457076.922423222
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-03-11T08:35:10.465,6,-0.005338893363622092,2.7965730110659863,FoVP,0.47722533554672386,0.7083455766627981,2457092.855756671
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-03-11T10:21:44.609,6,-0.0027012619822506987,2.791809247838596,FoVF,0.4801396853287648,0.7069827783572079,2457092.929767583
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-03-11T14:35:24.647,1,0.003689551736793038,2.780534175315523,FoVP,0.4870331603481367,0.7037181269629402,2457093.1059364527
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-03-11T16:21:58.939,1,0.006421667075401715,2.7758246377587508,FoVF,0.4899110950867313,0.7023383957041238,2457093.179949092
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-04-17T09:55:19.125,1,0.006546153314847866,-2.532016831888471,FoVF,-0.7144118803731234,0.7131889515742881,2457129.914166519
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-04-17T14:08:59.147,7,-0.005912948956664883,-2.5344371790990223,FoVP,-0.7140615790590572,0.7137582622802602,2457130.090338442
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-05-24T19:24:37.345,2,0.0031100508632520892,1.9101028964475035,FoVP,0.5575043479437648,0.7250298976803188,2457167.3123884522
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-06-08T21:16:55.155,3,0.002576062111945675,2.851323888407858,FoVF,-0.386774930155705,0.7230728159801008,2457182.3912955676
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-06-09T01:30:35.230,7,-0.006347360313422698,2.859950867230616,FoVP,-0.3943618303140474,0.7175977355586136,2457182.5674633905
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-09-15T22:19:11.532,6,-0.0050375642456773635,-0.41190612189810183,FoVP,0.5183757689948576,0.71812300983089,2457281.433906871
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-09-16T00:05:45.767,5,-4.6788355549948267E-4,-0.40919549821809814,FoVF,0.5159821234885077,0.7203962078979165,2457281.5079094
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-10-05T18:06:12.350,3,0.0020658477990245527,0.731968591260455,FoVF,-0.6699751054940967,0.7160685320410679,2457301.2567876526
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-11-07T15:48:36.273,6,-0.004315063526676172,-1.1215472528826076,FoVP,0.6784369750015554,0.7109539460803542,2457334.1585684204
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2015-11-07T17:35:10.470,4,7.334508966776813E-4,-1.123654633497433,FoVF,0.6792077449659942,0.709889387196105,2457334.2325694645
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-03-04T05:21:33.789,2,0.004153737025925313,-2.2836611192439276,FoVF,-0.3970374044277278,0.7036124019927217,2457451.720937055
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-03-04T09:35:13.826,5,-0.0031753165305311777,-2.2944030018752724,FoVP,-0.3920307183061041,0.707880694876967,2457451.897104809
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-03-26T21:38:47.459,1,0.004317811535760179,2.4556445375189617,FoVP,0.632686662443918,0.7069957469607994,2457474.4010693603
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-04-27T17:04:06.186,5,-4.822517678466844E-5,-2.6475278015861496,FoVF,-0.7083858270214861,0.7144357536251797,2457506.2128362088
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-06-07T16:07:37.822,7,-0.004596905307117484,1.8679762034689102,FoVF,0.3940385629196988,0.7210683168644392,2457547.176492515
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-06-07T20:21:17.886,2,0.002110820734811922,1.8784211422390933,FoVP,0.38398387365631803,0.7251166285516564,2457547.3526602876
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-06-07T22:07:52.042,2,0.004861677925688603,1.882851532433191,FoVF,0.3797206048785365,0.7267924060158995,2457547.426670763
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-06-17T02:27:52.765,1,0.0049497251824254926,2.500080912224671,FoVP,-0.21422107523281178,0.7257449752403137,2457556.6076911963
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-06-17T04:14:26.916,3,0.002419957371920157,2.5046297909478685,FoVF,-0.21832934487971983,0.7239871179426574,2457556.681700893
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-06-17T08:28:06.959,6,-0.003725995271384888,2.51538695593835,FoVP,-0.22801497555787556,0.7197246465070734,2457556.8578666565
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-10-19T01:03:07.059,1,0.006074800197070502,0.6183553186357519,FoVF,-0.7135298970056804,0.7130964352397434,2457680.545174954
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-10-19T05:16:47.076,7,-0.006802369169553811,0.6177557603803593,FoVP,-0.7144457084203295,0.7123193244854146,2457680.721318152
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-11-17T16:58:26.610,5,-0.003338600425486474,-1.1937241611003673,FoVP,0.6154291497266865,0.7107758811208352,2457710.20623553
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2016-11-17T18:45:00.808,4,0.001239914121861145,-1.1967680907585803,FoVF,0.6167339084417266,0.7091509490886941,2457710.2802370028
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-03-15T01:54:13.867,2,0.004035097587353901,-2.308761758827935,FoVF,-0.5261524102065497,0.7069364722939996,2457827.5776148005
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-03-15T06:07:53.867,6,-0.005270924091494497,-2.3177402229454067,FoVP,-0.522105520461178,0.7113263229843899,2457827.753783862
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-04-11T00:01:10.966,4,-3.3932904552996535E-4,2.248903352197962,FoVP,0.7014583494292914,0.7113087761233593,2457854.501113159
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-04-11T01:47:45.189,2,0.004705299875277389,2.247120760899141,FoVF,0.702298301119498,0.7106972661763215,2457854.575126293
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-05-08T17:47:39.585,2,0.0026661045500601622,-2.7869522017913644,FoVP,-0.6700402896332179,0.7172019274720726,2457882.243935868
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-05-08T19:34:13.794,6,-0.0025252990514371,-2.7860307629586063,FoVF,-0.6711005105288573,0.7158841891565147,2457882.3179485872
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-10-06T01:51:51.156,3,2.685747573872891E-4,-0.782122277876411,FoVP,0.6705881574648265,0.720607150813252,2458032.580085089
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-10-06T03:38:25.357,1,0.005572669924029387,-0.7812516408169996,FoVF,0.6695584832885345,0.7218855966370569,2458032.654086246
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-11-02T13:37:09.207,1,0.003805977591446689,0.4650797666423428,FoVP,-0.7005790554512972,0.7094320132141282,2458060.0676518083
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-11-02T15:23:43.425,5,-0.0012873085627708148,0.463118604116428,FoVF,-0.6996095975930526,0.7101508254121015,2458060.1416529994
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-11-28T13:30:55.897,7,-0.006832289086071541,-1.2402524843983207,FoVP,0.5166436232065954,0.7123369188524262,2458086.0613948023
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2017-11-28T15:17:30.042,6,-0.0029309260098200544,-1.244158566339904,FoVF,0.5184331158471933,0.7104390159393638,2458086.135396227
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2018-03-26T07:18:03.697,4,-0.0013988519369514784,-2.366603894210402,FoVP,-0.6199504985006652,0.71270730986113,2458203.8032617476
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2018-04-25T18:59:24.006,2,0.00219889923952992,2.0980600664951714,FoVP,0.7126128746689931,0.7142121938495801,2458234.2927067685
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2018-05-19T14:40:16.085,4,0.0010520496328874267,-2.9566958815207918,FoVF,-0.6023548046412639,0.7201157186282452,2458258.114579183
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2018-08-27T21:48:34.912,6,-0.005111245396222401,0.17759713145647593,FoVP,0.2361657609921532,0.71961222319876,2458358.4136921363
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2018-08-27T23:35:09.179,6,-0.002343037762790306,0.18207449228269965,FoVF,0.23214220727144444,0.7214654891658083,2458358.4876964237
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2018-08-28T03:48:49.166,1,0.004124533750228558,0.19280652986147603,FoVP,0.2224690383280672,0.7258017598241162,2458358.663845479
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2018-08-28T05:35:23.290,1,0.006789861224908431,0.19734646466190178,FoVF,0.21836466821334655,0.7275912083976412,2458358.737848094
Gaia DR3 4318465066420528000,5.145718712364881,0.2606067994343399,19:39:18.712,+14:55:54.011,2018-09-06T17:41:49.788,1,0.00685869588271668,0.8416427671442446,FoVF,-0.40229629602386013,0.7217308605034276,2458368.2418280356
