BJD RV eRV
2451066.976 0 6
2451152.792 31.9 6.3
2451211.615 21.9 6.5
2451239.601 28.6 12.8
2451449.91 -96.7 5.3
2451503.721 -146 10.7
2451529.678 -149.2 7.6
2451558.576 -173.7 6.7
2451775.925 -159.8 5.6
2451811.889 -162.9 6.8
2451859.674 -141.3 5.8
2451917.684 -95.6 7
2451946.648 -73.4 7.5
2451987.565 -66.1 8.8
2452116.967 8.5 6.7
2452247.791 33.2 5.9
2452306.677 24.6 5.7
2452493.922 -73.1 6.2
2452539.875 -108.3 5.7
2452577.878 -139.7 6.2
2452897.885 -144.9 8.2
2452932.879 -145.9 6.8
2453017.698 -72.3 6.5
2453215.857 23.3 15.3
2453215.872 13.4 6.7
2453320.757 53.2 10.1
2453564.962 -73 8.1
2453566.915 -60.3 6.8
2453635.898 -128.3 8.8
2453690.714 -170.7 7.5
2453968.929 -164.7 10.9
2454018.859 -137.5 6.9
