BJD RV eRV
2451066.9757 0 6
2451152.79209 31.9 6.3
2451211.61496 21.9 6.5
2451239.60083 28.6 12.8
2451449.91 -96.7 5.3
2451503.72131 -146 10.7
2451529.67754 -149.2 7.6
2451558.57566 -173.7 6.7
2451775.9253 -159.8 5.6
2451811.88858 -162.9 6.8
2451859.67414 -141.3 5.8
2451917.68431 -95.6 7
2451946.64764 -73.4 7.5
2451987.56487 -66.1 8.8
2452116.9671 8.5 6.7
2452247.7907 33.2 5.9
2452306.6772 24.6 5.7
2452493.92186 -73.1 6.2
2452539.87531 -108.3 5.7
2452577.87821 -139.7 6.2
2452897.88453 -144.9 8.2
2452932.87904 -145.9 6.8
2453017.69801 -72.3 6.5
2453215.85694 23.3 15.3
2453215.8716 13.4 6.7
2453320.75657 53.2 10.1
2453564.96191 -73 8.1
2453566.91539 -60.3 6.8
2453635.89769 -128.3 8.8
2453690.71397 -170.7 7.5
2453968.92927 -164.7 10.9
2454018.85867 -137.5 6.9
