BJD RV eRV
2453151.4302 0 13
2453153.4235 32 14
2453155.3946 -377 11
2453217.3409 -260 11
2453218.3429 -57 11
2453219.345 20 13
2453220.3498 48 12
2453224.3411 -37 9
2453226.3539 111 17
2453227.3547 31 26
2453228.3326 -270 12
2453229.3231 -286 11
2453230.3545 -75 25
2453231.3597 6 13
2453232.327 54 18
2453233.3267 2 9
2453234.3264 -211 10
2453392.6777 62 14
2453394.6422 -335 27
2453396.6787 6 15
2453397.681 110 15
2453398.6756 61 15
2453399.6799 -106 14
2453421.6764 76 24
2453422.6439 74 17
2453424.6543 -293 13
2453425.6554 -280 14
2453426.6586 -88 12
2453428.6526 73 25
2453429.5865 97 28
2453430.565 -183 16
2453431.634 -307 12
2453486.5332 -302 12
2453487.4809 -123 11
2453488.4736 3 12
2453489.5168 79 17
2453490.4763 78 10
2453491.4789 -35 11
2453492.4688 -331 11
2453517.491 -284 11
2453519.445 51 11
2453520.3896 111 11
2453553.3845 -200 25
