BJD RV eRV BIS
2453754.93162 0 9.55 -4.26
2453775.866019 -194.12 9.1 -15.92
2453800.785891 -115.32 6.86 31.47
2453835.87985 -342.78 9.6 -11.06
2453889.752627 36.93 7.13 -47.41
2453910.70059 -181.9 8.43 -73.12
2453937.627106 119.16 6.15 3.78
2454155.829329 -254.97 7.52 -11.29
2454161.80625 -255.98 8.34 0.34
2454162.013218 -209.09 7.33 6.76
2454167.789387 -282.5 6.47 -5.87
2454173.769005 -328.24 8.58 -8.4
2454174.757523 -115.54 7.6 -37.54
2454180.750972 -127.04 7.77 -39.03
2454186.734051 -152.16 7.49 -19.01
2454216.654954 -329.25 5.77 -40.67
2454221.651389 -32.14 7.35 -83.02
2454247.779954 -250.78 6.06 22.09
2454255.766701 42.82 8.22 -31.83
2454262.733357 125.93 10.34 4.43
2454262.741482 134.6 8.47 18.72
2454300.628061 120.38 9.44 -50.03
2454462.987002 -125.22 8.28 -6.8
2455014.680474 -207.52 12.13 3.42
2455040.626748 47.73 8.54 -29.54
2455314.850961 -288.29 8.64 5.36
2455555.005828 -126.29 12.87 12.42
2455556.997251 162.1 10.42 30.85
2455557.994444 175.13 14.87 -73.31
2455563.981482 99.48 10.99 -22.05
2455567.970249 19.18 12.37 -8.12
2455629.997095 96.14 11.1 6.23
2455630.789641 128.94 6.37 1.89
2455634.966296 -41.8 7.53 -66.87
2455637.772726 122.57 6.96 -35.02
2455639.968102 -276.37 8.25 18.2
2455640.770966 -138.41 7.95 -31.27
2455703.77581 73.93 9.67 -44.06
2455729.691742 163.33 9.79 -18.91
2455734.701291 116.23 9.18 -7.25
2455746.656314 116.75 9.89 -47.51
2455751.636308 -40.93 9.62 -30.54
2455933.974525 -249.27 7.52 18.99
2455948.888773 89.28 7.31 -0.4
2455964.868542 -308.98 7.4 -45.38
2455978.820943 -35.12 7.04 -16.13
2456003.963964 46.32 7.26 -17.41
2456043.643206 0.489999999999995 7.52 -11.93
2456073.755683 75.43 7.02 -31.82
2456398.679884 69.1 8.92 26.54
2456461.714097 -325.22 8.39 -15.89
