BJD RV eRV
2455370.81537 0 0.86
2455371.836612 170.89 1.23
2458885.015346 -200.89 1.58
2458906.17126 164.43 1.47
2459040.838457 148.09 1.37
2459209.15044 141.48 1.51
2459593.184149 230.42 1.54
2459631.917441 240.64 1.6
2459680.012339 281.75 1.51
2459681.141161 242.56 1.54
2459789.757976 267.45 1.36
2460045.09137 -129.33 1.51
2460062.798603 -92.9 1.46
2460094.767687 -3.05000000000001 1.45
2460119.842556 105.41 1.36
2460170.746718 262.84 1.4
2460171.75571 249.51 1.38
2460179.737348 -148.54 1.58
2460189.727251 277.04 1.59
2460275.153163 303.88 1.69
2460284.138191 -140.93 1.35
2460294.165011 293.22 1.38
2460311.148027 239.75 0.98
2460420.969524 192.13 1.38
2460484.831592 251.62 1.35
2460487.7702 94.34 1.3
