BJD RV eRV
2460043.805713 0 0.96
2460043.80849 0.859999999999999 0.97
2460043.811272 4.66 1.05
2460043.814051 1.59 1.26
2460043.816828 1.34 1.11
2460043.819608 -2.73 0.94
2460043.822391 -1.74 0.8
2460043.825168 -2.55 0.95
2460043.827948 -2.97 0.97
2460043.830727 -5.9 0.98
2460043.833509 -7.92 1.2
2460043.836289 -2.05 0.86
2460043.83907 -1.85 0.85
2460043.841852 -3.68 1.28
2460043.844632 0.280000000000001 1.1
2460043.847413 2.83 0.67
2460043.850192 -1.53 1.05
2460043.852974 -1.16 1.03
2460043.855755 0.380000000000003 1.16
2460043.8621 -3.73 1.31
2460043.864879 -2.01 1.21
2460043.867659 -1.56 1.12
2460043.87044 -2.65 1.25
2460043.873218 -9.52 0.93
2460043.875997 -5.33 1.73
2460043.878775 -4.36 2.67
2460043.881555 -1.86 3.34
2460043.884334 -4.74 1.12
2460043.887112 -9.79 0.94
2460043.88989 -7.91 1.88
2460043.892669 -12.48 1.68
2460043.898227 -10.83 0.98
2460043.901007 -17.78 1.62
2460043.903788 -15.43 1.37
2460043.906568 -15.71 1.81
2460043.909349 -13.1 2.24
2460043.986621 -60.86 1.25
2460043.9894 -65.65 1.66
2460043.992178 -67.3 1.68
2460043.994959 -65.14 2.12
2460043.997738 -66.16 1.56
2460044.000517 -67.32 1.5
2460044.003297 -69.74 1.23
2460044.006078 -71.19 1.33
2460044.008859 -69.21 1
2460044.011639 -72.88 0.7
2460044.014415 -75.27 0.82
2460044.017194 -75.95 0.88
2460044.019973 -73.64 1.31
2460044.022754 -78.05 1.22
2460044.025535 -78.12 1.49
2460044.028316 -77.77 1.73
2460044.031095 -83.38 1.37
2460044.033873 -81.87 1.52
2460044.036654 -80.56 1.58
2460044.039435 -80.93 1.06
2460044.043666 -86.77 1.36
2460044.046446 -87 0.81
2460044.049226 -84.42 1.09
2460044.052006 -84.2 1.35
2460044.054784 -85.49 1.43
2460044.057562 -88.63 1.36
2460044.060342 -86.62 1.29
2460044.063123 -79.51 1.02
2460044.065906 -77.34 0.81
2460044.068687 -83.46 0.97
2460044.071468 -86.42 1.07
2460044.074244 -81.53 1.01
2460044.077021 -84.04 0.9
2460044.079798 -87.19 1
2460044.082576 -91.66 0.96
2460044.085356 -87.83 0.91
2460044.088137 -87.66 1.22
2460044.090914 -90.19 1.31
2460044.093693 -94.62 1.07
2460044.096472 -91.17 1.25
