BJD RV eRV BIS
2456277.776746 0 2.07 45.68
2456294.750929 370.890000000003 1.31 61.11
2456411.479219 327.530000000002 1.61 59.89
2456470.431029 351.889999999999 1.97 40.06
2456647.758777 280.43 2.73 47.87
2456685.688117 375.580000000002 2.83 42.82
2456740.588126 352.68 2.8 28.32
2456770.557675 269.389999999999 1.98 50.07
2456795.507729 306.16 1.69 46.5
2456837.449723 159.290000000001 1.66 42.86
2457035.768792 319.16 2.53 54.72
2457066.729477 328.089999999997 2.7 37.56
2457135.516109 202.969999999998 1.76 60.33
2457168.476646 44.369999999999 0.89 51.64
2457196.430544 252.119999999999 1.31 50.08
2457196.524173 240.75 1.33 52.21
2457238.372546 291.549999999999 1.53 55.61
2460023.765436 489.189999999999 1.7 40.87
