Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-26T18:05:26.501,7,-0.006264324489914873,0.7307578489784297,FoVP,-0.6057586779728854,0.730377429627802,2456865.252473402
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-27T00:05:40.668,6,-0.003959884106932298,0.7272797936175411,FoVP,-0.6057190685618852,0.7294572291573864,2456865.502627758
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-27T01:52:14.865,7,-0.003278120722460927,0.7262508489300982,FoVF,-0.6057085583988624,0.7291841965926636,2456865.576631824
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-27T06:05:54.863,4,-0.001655277252415773,0.7238016249168443,FoVP,-0.6056857597239167,0.7285328320478432,2456865.7527824733
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-27T07:52:29.068,5,-9.73469716185714E-4,0.7227726392527504,FoVF,-0.6056771136641519,0.7282585673581028,2456865.8267866457
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-27T12:06:09.086,3,6.494694845032919E-4,0.7203233040222125,FoVP,-0.605658752409355,0.7276042872915957,2456866.0029375483
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-27T13:52:43.298,4,0.0013313133047391486,0.7192942658853624,FoVF,-0.6056519707275414,0.7273288050124865,2456866.0769418273
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-27T18:06:23.336,2,0.0029543295050412444,0.7168447920704102,FoVP,-0.6056380475356598,0.7266716440998581,2456866.2530929837
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-27T19:52:57.557,3,0.0036362017384949713,0.7158156899620098,FoVF,-0.6056331304971102,0.7263949588314553,2456866.327097369
HD118203,3.5519296981038995,0.9377397023351818,13:34:02.539,+53:43:42.698,2014-07-28T01:53:11.842,1,0.00594116897237644,0.7123368726076327,FoVF,-0.6056205938484639,0.7254570783098581,2456866.5772532704
