BJD RV eRV
2455967.61149 0 5.3
2455968.69988 -19.4000000000015 8.4
2455969.58114 -24.8000000000011 5.2
2455970.58039 -22.6000000000004 3.9
2455979.6299 -161.300000000001 3.8
2455980.65163 -188.900000000001 3.8
2455981.60505 -210.400000000001 3.9
2455982.58457 -228.400000000001 3.9
2455984.55994 -281.300000000003 4
2455997.60341 -717.900000000001 3.9
2456008.6146 -1179.1 4.5
2456109.45356 -3871.4 3.8
2456361.6907 -3824.8 3.7
2456370.63437 -3888.5 3.7
2456421.57633 -3153.6 3.8
2456445.39659 -2229.7 3.8
2456467.42808 -1235.7 3.8
2456702.66945 -2917.4 10
