BJD RV eRV
2451329.82953 0 7.4
2451358.76587 -5.5 6.5
2451417.72632 -26.5 7.5
2451449.62644 -47.6 6.9
2451656.89886 -142.6 7.3
2451689.69367 -154.8 7.2
2451750.74058 -155.1 8
2451777.71797 -174.5 6.7
2451809.60771 -175.4 6.8
2452037.88607 -185.7 7
2452115.73144 -189.4 7.1
2452145.70159 -177.7 7.7
2452181.62915 -178 7.1
2452354.98989 -179.3 12.7
2452451.80971 -156.4 7.4
2452454.80637 -157.5 6.7
2452471.72725 -166.6 6.4
2452495.71816 -168.2 7.4
2452541.58879 -155 7
2452806.74254 -100.7 6.9
2452841.82135 -98.7 7.5
2452933.55588 -63.5 7.2
2453215.73683 -63.4 8
2453505.84769 -186 10
2453505.87913 -197.2 8.2
2453563.74131 -194.1 6.6
2453586.66183 -185.6 8
2453633.61295 -201.3 7.2
2453636.6004 -211.1 6.6
2453805.95471 -225.3 7.2
2453809.96897 -220.6 7.2
2453840.90354 -216.3 8.2
2453863.84247 -216.3 9.3
2453909.73446 -211.9 7.3
2453927.75413 -212.8 6.8
