TBJD PDCSAP ePDCSAP
1.437995744505898756e+03 7.687572500000000000e+05 9.763126373291015625e+01
1.437997133452189473e+03 7.685722500000000000e+05 9.762049865722656250e+01
1.437998522398480191e+03 7.688473750000000000e+05 9.763954925537109375e+01
1.437999911344770226e+03 7.684546875000000000e+05 9.760255432128906250e+01
1.438001300291061625e+03 7.691646250000000000e+05 9.764640808105468750e+01
1.438002689237353252e+03 7.692573125000000000e+05 9.764801025390625000e+01
1.438004078183643287e+03 7.689405000000000000e+05 9.763369750976562500e+01
1.438005467129934232e+03 7.692035625000000000e+05 9.763622283935546875e+01
1.438006856076225404e+03 7.694956875000000000e+05 9.766194152832031250e+01
1.438008245022517031e+03 7.694286875000000000e+05 9.764001464843750000e+01
1.438009633968807748e+03 7.695768750000000000e+05 9.765868377685546875e+01
1.438011022915098010e+03 7.698298750000000000e+05 9.767343902587890625e+01
1.438012411861388728e+03 7.694886250000000000e+05 9.764796447753906250e+01
1.438013800807680127e+03 7.696230625000000000e+05 9.764897155761718750e+01
1.438015189753971072e+03 7.698562500000000000e+05 9.766684722900390625e+01
1.438016578700261789e+03 7.700108750000000000e+05 9.766901397705078125e+01
1.438017967646552506e+03 7.698999375000000000e+05 9.765766906738281250e+01
1.438019356592844133e+03 7.701740625000000000e+05 9.768298339843750000e+01
1.438020745539135305e+03 7.699761875000000000e+05 9.766893005371093750e+01
1.438022134485425568e+03 7.698897500000000000e+05 9.765668487548828125e+01
1.438023523431716285e+03 7.700049375000000000e+05 9.765950012207031250e+01
1.438024912378472663e+03 7.702959375000000000e+05 9.768153381347656250e+01
1.438026301324763381e+03 7.704341875000000000e+05 9.768960571289062500e+01
1.438027690271055008e+03 7.706006875000000000e+05 9.769160461425781250e+01
1.438029079217345725e+03 7.704959375000000000e+05 9.768440246582031250e+01
1.438030468163636442e+03 7.708645000000000000e+05 9.771268463134765625e+01
1.438031857109928069e+03 7.707871250000000000e+05 9.769961547851562500e+01
1.438033246056684447e+03 7.706585625000000000e+05 9.769298553466796875e+01
1.438034635002975165e+03 7.707415625000000000e+05 9.769705963134765625e+01
1.438036023949265882e+03 7.708516875000000000e+05 9.769182586669921875e+01
1.438037412895556145e+03 7.708434375000000000e+05 9.769195556640625000e+01
1.438038801842313433e+03 7.705203125000000000e+05 9.766351318359375000e+01
1.438040190788604605e+03 7.712125625000000000e+05 9.772563171386718750e+01
1.438041579734895549e+03 7.712303750000000000e+05 9.770745849609375000e+01
1.438042968681186494e+03 7.711198750000000000e+05 9.769823455810546875e+01
1.438044357627941963e+03 7.711223750000000000e+05 9.769869995117187500e+01
1.438045746574233590e+03 7.713478750000000000e+05 9.771057891845703125e+01
1.438047135520525217e+03 7.715285625000000000e+05 9.772054290771484375e+01
1.438048524466815024e+03 7.714633750000000000e+05 9.771616363525390625e+01
1.438049913413571403e+03 7.716018750000000000e+05 9.772742462158203125e+01
1.438051302359863030e+03 7.714011250000000000e+05 9.770452117919921875e+01
1.438052691306154657e+03 7.714633125000000000e+05 9.770922851562500000e+01
1.438054080252911035e+03 7.719039375000000000e+05 9.773157501220703125e+01
1.438055469199201070e+03 7.717450625000000000e+05 9.772093963623046875e+01
1.438056858145492015e+03 7.713982500000000000e+05 9.770288085937500000e+01
1.438058247092248848e+03 7.718066250000000000e+05 9.772353363037109375e+01
1.438059636038539566e+03 7.715869375000000000e+05 9.771359252929687500e+01
1.438061024984830510e+03 7.714928750000000000e+05 9.769606781005859375e+01
1.438062413931587116e+03 7.719583125000000000e+05 9.772257995605468750e+01
1.438063802877878288e+03 7.716519375000000000e+05 9.770384216308593750e+01
1.438065191824169915e+03 7.719578125000000000e+05 9.771825408935546875e+01
1.438066580770925839e+03 7.720325000000000000e+05 9.772174835205078125e+01
1.438067969717216556e+03 7.722770000000000000e+05 9.773692321777343750e+01
1.438069358663972935e+03 7.723745000000000000e+05 9.773960113525390625e+01
1.438070747610263652e+03 7.720817500000000000e+05 9.771829223632812500e+01
1.438072136556555279e+03 7.720272500000000000e+05 9.771077728271484375e+01
1.438073525503311657e+03 7.723815000000000000e+05 9.772967529296875000e+01
1.438074914449602375e+03 7.721024375000000000e+05 9.770726776123046875e+01
1.438076303396358753e+03 7.723191875000000000e+05 9.772000122070312500e+01
1.438077692342649470e+03 7.724312500000000000e+05 9.773696136474609375e+01
1.438079081289406759e+03 7.725133750000000000e+05 9.772751617431640625e+01
1.438080470235697476e+03 7.723689375000000000e+05 9.772048950195312500e+01
1.438081859182453400e+03 7.727095000000000000e+05 9.774240112304687500e+01
1.438083248128744799e+03 7.725591875000000000e+05 9.771912384033203125e+01
1.438084637075036198e+03 7.724123125000000000e+05 9.771762084960937500e+01
1.438086026021792577e+03 7.723609375000000000e+05 9.770590972900390625e+01
1.438087414968083294e+03 7.724387500000000000e+05 9.771743774414062500e+01
1.438088803914839218e+03 7.724770000000000000e+05 9.771118164062500000e+01
1.438090192861130845e+03 7.722325000000000000e+05 9.768880462646484375e+01
1.438091581807887678e+03 7.723754375000000000e+05 9.769962310791015625e+01
1.438092970754177941e+03 7.727461250000000000e+05 9.771976470947265625e+01
1.438094359700934319e+03 7.724269375000000000e+05 9.769327545166015625e+01
1.438095748647225946e+03 7.724397500000000000e+05 9.769204711914062500e+01
1.438097137593983007e+03 7.724795625000000000e+05 9.769758605957031250e+01
1.438098526540739613e+03 7.726693750000000000e+05 9.770836639404296875e+01
1.438099915487029421e+03 7.728771250000000000e+05 9.771388244628906250e+01
1.438101304433785799e+03 7.727483125000000000e+05 9.771275329589843750e+01
1.438102693380077426e+03 7.727592500000000000e+05 9.770782470703125000e+01
1.438104082326833804e+03 7.727817500000000000e+05 9.770739746093750000e+01
1.438105471273124522e+03 7.727481250000000000e+05 9.770923614501953125e+01
1.438106860219881128e+03 7.727968750000000000e+05 9.771111297607421875e+01
1.438108249166172527e+03 7.726511250000000000e+05 9.769085693359375000e+01
1.438109638112929815e+03 7.727191250000000000e+05 9.769577026367187500e+01
1.438111027059219623e+03 7.728188750000000000e+05 9.770468902587890625e+01
1.438112416005976229e+03 7.730039375000000000e+05 9.771127319335937500e+01
1.438113804952732835e+03 7.730270000000000000e+05 9.771034240722656250e+01
1.438115193899023552e+03 7.729890625000000000e+05 9.770306396484375000e+01
1.438116582845780613e+03 7.728993125000000000e+05 9.768801116943359375e+01
1.438117971792071558e+03 7.727705625000000000e+05 9.769408416748046875e+01
1.438119360738827936e+03 7.730517500000000000e+05 9.770988464355468750e+01
1.438120749685584315e+03 7.730012500000000000e+05 9.769776153564453125e+01
1.438122138631875032e+03 7.729970625000000000e+05 9.770312500000000000e+01
1.438123527578632320e+03 7.730670625000000000e+05 9.770307159423828125e+01
1.438124916524923037e+03 7.730246875000000000e+05 9.769558715820312500e+01
1.438126305471678734e+03 7.729546875000000000e+05 9.769258117675781250e+01
1.438127694418435794e+03 7.730325625000000000e+05 9.768926239013671875e+01
1.438129083364727421e+03 7.727965625000000000e+05 9.767640686035156250e+01
1.438130472311483800e+03 7.729002500000000000e+05 9.768589782714843750e+01
1.438131861258240178e+03 7.729604375000000000e+05 9.768547058105468750e+01
1.438133250204530441e+03 7.731638750000000000e+05 9.769569396972656250e+01
1.438134639151287502e+03 7.729898750000000000e+05 9.768215179443359375e+01
1.438136028097578901e+03 7.727772500000000000e+05 9.766299438476562500e+01
1.438137417044334825e+03 7.724618125000000000e+05 9.764385986328125000e+01
1.438138805991091203e+03 7.728581875000000000e+05 9.767179870605468750e+01
1.438140194937382603e+03 7.727829375000000000e+05 9.766548919677734375e+01
1.438141583884139663e+03 7.727193750000000000e+05 9.765805053710937500e+01
1.438142972830896042e+03 7.723502500000000000e+05 9.762902832031250000e+01
1.438144361777186305e+03 7.725031250000000000e+05 9.764653778076171875e+01
1.438145750723942683e+03 7.726017500000000000e+05 9.764445495605468750e+01
1.438147139670699971e+03 7.723345000000000000e+05 9.762381744384765625e+01
1.438148528616990689e+03 7.723929375000000000e+05 9.762982940673828125e+01
1.438149917563747067e+03 7.722000625000000000e+05 9.761830139160156250e+01
1.438151306510503446e+03 7.721116250000000000e+05 9.761032104492187500e+01
1.438152695456795072e+03 7.724556250000000000e+05 9.762191772460937500e+01
1.438154084403552133e+03 7.724267500000000000e+05 9.762973022460937500e+01
1.438155473350307830e+03 7.722835000000000000e+05 9.761701965332031250e+01
1.438156862297064208e+03 7.723358750000000000e+05 9.761649322509765625e+01
1.438158251243355153e+03 7.721898750000000000e+05 9.760019683837890625e+01
1.438159640190111759e+03 7.726482500000000000e+05 9.764413452148437500e+01
1.438161029136868592e+03 7.717585000000000000e+05 9.757373046875000000e+01
1.438162418083159309e+03 7.718244375000000000e+05 9.758315277099609375e+01
1.438163807029915915e+03 7.719985000000000000e+05 9.758567047119140625e+01
1.438165195976672521e+03 7.720261875000000000e+05 9.759497833251953125e+01
1.438166584922963239e+03 7.720340000000000000e+05 9.759598541259765625e+01
1.438167973869720299e+03 7.717994375000000000e+05 9.756873321533203125e+01
1.438169362816476905e+03 7.717903750000000000e+05 9.757379150390625000e+01
1.438170751762766713e+03 7.718700625000000000e+05 9.757687377929687500e+01
1.438172140709524001e+03 7.715885625000000000e+05 9.754968261718750000e+01
1.438173529656281289e+03 7.714730000000000000e+05 9.754997253417968750e+01
1.438174918603037668e+03 7.715340625000000000e+05 9.754991912841796875e+01
1.438176307549328385e+03 7.712714375000000000e+05 9.752854156494140625e+01
1.438177696496084081e+03 7.714033750000000000e+05 9.754229736328125000e+01
1.438179085442841142e+03 7.714880625000000000e+05 9.754653930664062500e+01
1.438180474389598430e+03 7.711720000000000000e+05 9.752054595947265625e+01
1.438181863335888465e+03 7.711946875000000000e+05 9.752458953857421875e+01
1.438183252282645071e+03 7.708808750000000000e+05 9.750196838378906250e+01
1.438184641229401905e+03 7.707495625000000000e+05 9.749143218994140625e+01
1.438186030175693531e+03 7.708628125000000000e+05 9.749869537353515625e+01
1.438187419122449910e+03 7.707076875000000000e+05 9.748902130126953125e+01
1.438188808069205834e+03 7.706504375000000000e+05 9.748722839355468750e+01
1.438190197015962212e+03 7.704565625000000000e+05 9.746390533447265625e+01
1.438191585962253612e+03 7.703213750000000000e+05 9.746012878417968750e+01
1.438192974909010218e+03 7.700749375000000000e+05 9.742686462402343750e+01
1.438194363855766596e+03 7.702936875000000000e+05 9.744823455810546875e+01
1.438195752802057314e+03 7.705464375000000000e+05 9.747885894775390625e+01
1.438197141748814602e+03 7.701400000000000000e+05 9.744098663330078125e+01
1.438198530695571435e+03 7.701294375000000000e+05 9.744822692871093750e+01
1.438199919642327359e+03 7.700390000000000000e+05 9.743673706054687500e+01
1.438201308588618076e+03 7.696152500000000000e+05 9.741436004638671875e+01
1.438202697535374455e+03 7.696406875000000000e+05 9.741002655029296875e+01
1.438204086482130833e+03 7.695141250000000000e+05 9.739767456054687500e+01
1.438205475428888121e+03 7.696486250000000000e+05 9.741706085205078125e+01
1.438206864375178839e+03 7.695494375000000000e+05 9.739925384521484375e+01
1.438208253321935217e+03 7.693140000000000000e+05 9.739179229736328125e+01
1.438209642268692505e+03 7.692549375000000000e+05 9.738621520996093750e+01
1.438211031215448884e+03 7.691328125000000000e+05 9.737497711181640625e+01
1.438212420161739601e+03 7.691057500000000000e+05 9.736096191406250000e+01
1.438213809108495980e+03 7.689580000000000000e+05 9.737001037597656250e+01
1.438215198055251903e+03 7.694661875000000000e+05 9.739022064208984375e+01
1.438216587002009192e+03 7.706912500000000000e+05 9.747461700439453125e+01
1.438217975948300364e+03 7.715070625000000000e+05 9.751571655273437500e+01
1.438219364895056970e+03 7.724905000000000000e+05 9.758344268798828125e+01
1.438220753841813575e+03 7.718690000000000000e+05 9.754129028320312500e+01
1.438222142788103383e+03 7.709112500000000000e+05 9.746990966796875000e+01
1.438223531734860671e+03 7.705426875000000000e+05 9.745910644531250000e+01
1.438224920681617959e+03 7.697475000000000000e+05 9.740115356445312500e+01
1.438226309628373428e+03 7.693698750000000000e+05 9.738052368164062500e+01
1.438227698574664146e+03 7.688883750000000000e+05 9.735043334960937500e+01
