BJD RV eRV
2453341.50743 0 3.2
2453355.84573 19.7 5.3
2453357.85963 5.59999999999999 5.4
2453358.72474 29.9 5.1
2453359.72919 42.9 5.9
2453360.84952 59 5.4
2453365.81675 104.5 4.6
2453367.81264 98.8 5.3
2453369.70068 28.5 5.4
2453371.68476 11.3 5.3
2453377.78647 94.7 6.2
2453379.6758 121.2 4.6
2453389.75562 85.7 4.9
2453390.76324 89.1 4.7
2453391.75787 98.9 5.1
2453392.75205 111 5.1
2453395.73942 129.4 4.8
2453414.69383 27.5 7
2453416.68363 50 5.4
2453708.89443 189.6 4.8
2453709.88697 182.6 4.5
2453711.76759 141.6 4.2
2453712.87586 90.1 5.6
2453724.84134 182.2 4.5
2453730.71767 93.5 4.9
2453731.70874 109.2 4.7
2453733.70635 138.1 4.7
2453735.71387 166.6 5
2453739.69217 170 4.5
2453742.6857 79 4.4
2453751.77576 211.1 4.8
2453752.76272 209.7 4.7
2453753.77304 198.5 5.2
2453754.76015 166.6 4.8
2453755.75133 125.7 4.5
2453757.63903 95.1 4.3
2453758.75575 99.6 5.5
2453764.74541 193.1 4.4
2453989.99899 208 4.5
2454020.92423 267.9 4
2454021.92187 282.6 4.3
2454022.92612 287.9 7.9
2454028.90307 215.1 4.4
2454031.92844 242.2 3.4
2454035.00746 292.2 4.1
2454035.88704 298.5 4.8
2454037.8762 313.5 4.2
2454039.86912 303.9 4.5
2454040.97263 272.5 4.3
2454043.85975 219.3 4.4
2454048.89153 283.3 3.4
2454051.84308 307.2 4.5
2454052.83905 319.6 4.5
2454053.84658 318.9 4.7
2454054.82922 299.5 7.2
2454056.92288 220.3 4.8
2454060.91436 240 4.7
2454061.91194 257.8 4.6
2454062.80705 272.4 4.4
2454063.80866 289.4 4.2
2454071.89032 224.2 4.1
2454072.7745 220.9 4.4
2454073.89412 219.2 4.5
2454075.7572 257.4 3.9
2454081.86774 356.8 4.8
2454100.83215 229.9 5.5
2454105.80466 309.5 4.7
2454109.80132 357.2 4.8
2454110.69101 349.3 4.7
2454128.72971 258 4.6
2454132.72555 288.8 6.5
2454133.71881 299.1 4.3
2454163.63702 340.5 4.7
