BJD RV eRV
2452267.81489 151.91 1.86
2452298.75338 138.69 2.03
2452298.81543 130.5 4.34
2452299.69531 125.72 2.85
2452335.65723 225.95 3.5
2452534.97624 33.35 2.08
2452562.99023 77.07 3.79
2452575.00835 -7.38 2.66
2452575.9781 -1.39 2.06
2452577.94125 10.84 2.1
2452593.92743 44.93 2.57
2452594.94504 18.56 1.96
2452597.91549 -72.64 2.27
2452607.92285 35.78 4
2452921.00837 -45.66 1.85
2452928.02327 -170.91 2.42
2452938.0425 -79.52 2.67
2452990.89258 -98.54 2.56
2452991.82227 -70.19 3.34
2453008.81641 -67.87 3.07
2453018.83496 -72.96 3.83
2453034.82227 -103.03 2.86
2453069.66602 -168.1 4.09
2453079.68854 -69.99 2.52
2453081.69141 -78.65 3.59
2453281.03809 -55.89 2.83
2453281.96777 -91.51 2.75
2453311.98436 -141.5 3.08
2453339.91697 -107.69 2.72
2453360.87066 -124.33 3.48
2453361.80084 -103.15 4.75
2453363.86752 -82.98 2.87
2453385.77757 -153.69 2.74
2453404.74634 -98.33 2.28
2453744.72075 -89.4 2.99
2453751.84191 5.98 3.38
2453755.69829 -82.62 2.61
2453756.76327 -106.6 2.85
2453988.99649 -11.35 2.78
2454050.00682 82.85 2.8
2454072.82779 12.93 2.8
2454073.80492 24.14 3.06
2454102.83869 61.53 2.91
2454103.82321 73.62 2.57
2454135.72715 129.17 2.24
2454340.03116 240.56 2.05
2454548.6739 73.53 2.71
2454784.90926 -57.42 3.11
2454845.8159 -141.13 2.18
2454848.79358 -94.73 2.23
2454849.74659 -79.45 2.25
2455171.95678 -144.92 4.56
2455228.69846 -107.62 3.03
2455576.81245 -152.46 2.89
2455602.74436 -166 2.85
2455603.71927 -163.07 2.94
2455846.94435 -98.71 3.81
