BJD RV eRV FWHM Cont BIS
2456948.67671 0 2.9 7.6647 46.8369 -0.0274
2456949.63994 -8.90000000000057 3 7.6786 46.7714 -0.0306
2456962.63983 -17.3999999999985 2.9 7.668 46.9964 -0.0231
2456969.69476 -28.6000000000008 4.5 7.661 48.6389 -0.0186
2457025.62958 -513.6 15.9 7.6909 50.538 -0.0609
2457026.54292 -521.4 4 7.6818 49.2293 -0.0305
2457029.51548 -601.099999999999 6.1 7.7393 46.6663 -0.0296
2457029.53731 -606.099999999998 3 7.7065 46.8619 -0.0209
2457030.71516 -652.4 3.1 7.7393 46.0965 -0.0272
2457036.57992 -883.599999999998 4.1 7.6923 46.4094 -0.0215
2457037.46692 -919.499999999999 2.6 7.7135 46.8953 -0.0297
2457048.39933 -1732.5 4.8 7.6977 45.9698 -0.033
2457050.36692 -1903.4 2.9 7.711 46.8591 -0.0392
2457054.46142 -2237.8 2.9 7.6937 46.7181 -0.0355
2457093.43908 -1300 5.2 7.7034 46.0687 -0.0232
2457149.35119 -706.499999999998 3.4 7.7154 46.3351 -0.0221
2457319.67367 -276.799999999998 3 7.6834 46.9564 -0.032
2457436.57226 -173.8 3.2 7.7258 46.6319 -0.028
2457656.6768 -43.099999999999 2.9 7.6828 47.6721 -0.0367
2457730.54756 -11.5999999999978 2.8 7.6212 47.4196 -0.0254
2457795.31852 6.50000000000261 5.5 7.6236 49.9365 -0.0305
2458036.66959 30.9000000000026 2.5 7.6291 47.5731 -0.0401
2458150.3767 -992.999999999999 16.2 7.6125 49.9778 -0.0141
2458203.29037 -1335.8 5.9 7.6548 46.9029 -0.0412
2458237.32056 -875.899999999998 8.6 7.6863 48.7178 -0.0501
2458216.37443 -1102.8 5.6 7.6003 46.9173 -0.0538
