t RVel eRVel
2452298.98633 -24.45 2.19
2452335.81152 -23.3 3.44
2452687.91261 -20.89 2.41
2452991.00684 -35.85 2.15
2452992.04297 -29.05 2.77
2453008.99023 -33.05 2.32
2453101.74902 -40.92 3.1
2453389.8498 -52.11 2.61
2453391.9894 -42.75 2.88
2454073.99869 36 2.61
2454102.01627 33.81 2.78
2454102.97389 43.61 2.85
2454103.95295 23.5 2.62
2454134.83447 32.26 2.69
2454165.80654 19.28 2.71
2454196.76497 27.07 2.57
2454461.95302 20.29 2.65
2454517.84324 7.81 2.62
2454547.87276 8.26 2.35
2454574.77872 7.52 2.93
2454606.74588 -5.91 4.82
2454609.72899 17.36 2.88
2454622.71301 1.08 3.43
2454786.0646 -17.5 3.99
2454844.92554 4.89 2.07
2454846.0841 5.42 1.71
2454847.91725 2.25 1.86
2454848.90752 4.31 2.12
2454849.90125 3.15 1.94
2454863.95709 -9.29 2.69
2454864.90617 -9.38 3.54
2454865.93272 -5.34 3.36
2455168.04947 -16.42 2.4
