BJD RV eRV
2457067.70680802 0 3.665555
2457114.75314608 0.273918000000776 4.342688
2457143.61278461 3.93875700000081 2.83517
2457740.80491066 -10.2583889999996 4.394707
2457888.63614663 -14.225735 3.381151
2458085.84963038 -20.3802289999994 3.36559
2458112.84710165 -26.5692329999993 2.966668
2458123.79703828 -23.0994369999999 3.588153
2458127.75239818 -20.0331839999999 3.503658
2458136.74802069 -21.0646749999996 3.594186
2458215.66444324 -20.9885109999996 3.656447
2458286.56944134 -28.8020079999997 4.004652
2458471.83487447 -25.7775199999996 3.550217
2458495.82878956 -34.7771129999992 4.028203
2458534.67675772 -33.0012369999995 3.828519
