BJD RV eRV
2456698.6246166 0 3.73
2456699.5981178 -3.48999999999999 2.66
2456701.5721784 -57.9000000000001 3.25
2456702.5780274 -83.0700000000002 3.56
2456728.6514082 -22.4500000000001 3.78
2456786.6096227 16.0199999999999 4.56
2456787.6080239 -15.2700000000001 3.94
2456817.4828974 48.9999999999999 2.69
2456819.5294371 -12.5300000000002 3.61
2456820.5036652 -25.9500000000001 5.27
2456861.3962059 23.2899999999998 2.52
2456874.3671911 16.7299999999999 3.65
2456875.3699086 -8.12000000000013 9.07
2456987.7758682 76.3999999999998 3.6
2456998.737459 71.2999999999999 5.5
2456999.7720792 38.5599999999999 5.68
2457005.7568617 106.47 9.3
2457011.7739008 98.7899999999999 2.68
2457028.7007769 112.55 3.51
2457029.691968 89.2299999999999 3.5
2457050.67547 96.7199999999999 4.84
2457068.7805304 91.1599999999999 4.67
2457109.6223894 42.7 5
2457112.6046536 27.4799999999999 7.99
2457113.5209968 82.32 3.74
2457114.4434383 84.36 5
2457115.4514791 91.71 2.61
2457124.6632021 48.7799999999998 3.46
2457124.6739078 61.1299999999999 3.27
2457124.6843473 58.6499999999999 3.2
2457124.695354 54.7099999999998 2.89
2457124.7059324 52.2899999999999 2.95
2457142.5371704 16.4599999999999 3.59
2457143.4702025 31.32 3.39
2457144.4675938 69.04 3.79
2457150.4993939 27.4999999999999 4.65
2457159.4146304 37.0999999999999 3.25
2457170.4699137 87.0599999999999 2.68
2457173.4798065 16.2599999999999 5.2
2457174.4991165 12.84 5.3
2457175.462458 51.5099999999999 2.68
2457176.476235 84.7599999999999 3.76
2457205.4144948 8.64999999999982 2.54
2457206.4215209 29.76 3.1
2457207.4328524 62.1399999999999 3.8
