BJD RV eRV
2456640.021901 0 36.12
2456643.998845 66.16 23.47
2456698.953413 116.98 24.29
2456702.883586 15.22 28.33
2456729.914621 95.27 24.93
2456733.902128 34.6 19.52
2456801.709729 89.78 22.98
2456803.711379 15.02 12.28
2456804.800386 16.31 22.87
2456812.690753 85.22 29.16
2456816.685639 104.2 18.88
2456824.685293 125.15 14.15
2456993.029954 137.92 22.14
2457055.946535 125.42 18.22
2457090.798944 202.6 19.99
2457094.908058 132.09 19.32
2457110.916771 103.75 20.13
2457121.849369 163.52 17.07
2457141.86295 66.34 17.49
2457145.767451 187.32 17.82
2457149.696112 72.53 18.32
2457169.684005 163.64 18.14
