Target,ra[rad],dec[rad],ra[h:m:s],dec[d:m:s],ObservationTimeAtGaia[UTC],CcdRow[1-7],zetaFieldAngle[rad],scanAngle[rad],Fov[FovP=preceding/FovF=following],parallaxFactorAlongScan,parallaxFactorAcrossScan,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-08-08T11:55:14.031,6,-0.00492607227712715,0.483900238216205,FoVP,-0.407238182730059,0.730329353464972,2456877.99423713
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-08-08T13:41:48.230,7,-0.00390182781175234,0.483204565086042,FoVF,-0.407229520348285,0.729712755963518,2456878.06823981
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-08-08T17:55:28.234,4,-0.00146373593765704,0.481548622770078,FoVP,-0.407212317966933,0.728241916426987,2456878.24438716
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-08-08T19:42:02.441,5,-0.00043940727650711,0.480852908738365,FoVF,-0.407206526302528,0.727622665023118,2456878.31838995
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-08-08T23:55:42.465,2,0.00199887888568862,0.479196848797407,FoVP,-0.407196157253912,0.726145532908538,2456878.49453757
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-08-09T01:42:16.680,3,0.0030232865982234,0.478501076832991,FoVF,-0.407193236536128,0.72552364817227,2456878.56854048
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-08-09T07:42:30.948,1,0.00648623641456872,0.47614901178405,FoVF,-0.407189652302148,0.723415775150792,2456878.81869139
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-10-26T11:54:33.877,2,0.0038752340835888,-1.78897545591444,FoVF,-0.0956860751180908,0.707773666015852,2456956.99313376
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-10-26T16:08:13.998,3,0.000796016131004959,-1.80154528905391,FoVP,-0.089364490422885,0.709899124105103,2456957.16930053
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-10-26T17:54:48.210,5,-0.000476206885297446,-1.80683164258309,FoVF,-0.0866931898592133,0.710776497602476,2456957.24331097
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-10-26T22:08:28.144,5,-0.00345279169957236,-1.81942781128019,FoVP,-0.0802979324489624,0.712827235149605,2456957.41947564
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-10-26T23:55:02.280,7,-0.00468138062909375,-1.82472521140118,FoVF,-0.07759572666694,0.713672775539589,2456957.49348521
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-11-06T04:16:37.247,7,-0.00602232127107387,-2.56746571329551,FoVP,0.350324147272509,0.711796325518081,2456967.67566614
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-11-06T06:03:11.361,7,-0.00450081719034734,-2.57271701127694,FoVF,0.353469676392544,0.710843325605173,2456967.74967635
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-11-06T10:16:51.268,4,-0.000774357653439359,-2.58518648372114,FoVP,0.360934880059115,0.708526820329553,2456967.92584281
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-11-06T12:03:25.478,4,0.000835392004449056,-2.59041213385154,FoVF,0.364061673741587,0.707533675873768,2456967.99985414
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-11-06T16:17:05.617,1,0.00477268944314272,-2.60281856437397,FoVP,0.371481133792175,0.70512312370478,2456968.17602335
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-11-06T18:03:39.928,1,0.00647133791559156,-2.60801688687659,FoVF,0.374588251992401,0.704091121051565,2456968.25003586
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-12-15T23:35:31.934,1,0.00648437866163224,-1.80845332671481,FoVF,-0.695635937180704,0.701850437332933,2457007.48338498
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2014-12-16T03:49:11.954,7,-0.0062731785288095,-1.81185051481102,FoVP,-0.694668215372664,0.703157437287193,2457007.65955731
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-02-04T03:12:09.873,2,0.0019928378827566,-2.62568692879511,FoVP,-0.409738461607493,0.705962546324799,2457057.63770805
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-02-04T04:58:44.084,6,-0.00222138813874228,-2.62210733137502,FoVF,-0.412758293807445,0.703579408942109,2457057.71171966
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-05-10T17:53:43.075,5,-0.00260673904452411,0.37438392036829,FoVP,0.455937672215485,0.721646972446795,2457153.24983305
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-05-10T19:40:17.290,4,0.00159664778732698,0.377560966708447,FoVF,0.453204295271357,0.723995873797619,2457153.32383565
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-05-28T17:57:14.797,3,0.00135700239537298,1.44703268702707,FoVP,-0.637163139947306,0.723299979667818,2457171.25105513
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-05-28T19:43:49.014,7,-0.0033922670339529,1.44922584332778,FoVF,-0.639550873512604,0.72166799853945,2457171.32505677
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-07-03T11:22:01.237,1,0.00441951356927373,-0.39404022558647,FoVP,0.711694792277613,0.726372200929346,2457206.973761
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-17T06:44:09.553,2,0.00507969983886286,0.20222532264556,FoVF,-0.271408038376574,0.721240314361959,2457251.7777708
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-17T10:57:49.748,2,0.00318850743070551,0.189894828952436,FoVP,-0.26416304835344,0.722492083633738,2457251.95392189
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-17T12:44:24.007,3,0.0024286743473386,0.184709140571241,FoVF,-0.261118024251873,0.722996966986543,2457252.02792593
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-17T16:58:04.093,3,0.000702069575421432,0.172353527396129,FoVP,-0.253867775339561,0.72414853716257,2457252.20407581
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-17T18:44:38.309,5,1.09641363194555e-05,0.167157794093085,FoVF,-0.250821129465127,0.724611191258843,2457252.27807937
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-17T22:58:18.295,4,-0.00155305697348756,0.154779461624654,FoVP,-0.243568432664148,0.72566196630242,2457252.45422815
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-18T00:44:52.471,6,-0.00217628468671091,0.149574677436571,FoVF,-0.240521355573388,0.72608217078448,2457252.52823126
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-18T04:58:32.368,5,-0.00357976340201148,0.13717595727877,FoVP,-0.233269063806061,0.727031696830314,2457252.70437905
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-18T06:45:06.508,7,-0.00413597834866336,0.131963087149825,FoVF,-0.230222760879751,0.727409290407002,2457252.77838178
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-18T16:59:00.177,7,-0.00695972330226136,0.101893438818182,FoVP,-0.212686622498339,0.729338349840811,2457253.20467719
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-22T11:02:24.304,7,-0.00606456316727993,-0.163864840258917,FoVP,-0.0620547043753594,0.728547230016826,2457256.95687086
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-22T17:02:38.211,6,-0.0045113816494179,-0.181548065406636,FoVP,-0.0524203072269591,0.727411900960997,2457257.20702114
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-22T18:49:12.344,7,-0.00401946251774152,-0.186776759761167,FoVF,-0.0495830983345378,0.727051802513006,2457257.28102416
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-22T23:02:52.217,5,-0.00278972305024208,-0.199217465526345,FoVP,-0.0428541358562825,0.726150635134595,2457257.45717264
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-23T00:49:26.382,6,-0.0022485729604944,-0.204441831548642,FoVF,-0.0400375742690885,0.725753671776547,2457257.53117605
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-23T05:03:06.334,4,-0.000902766827412874,-0.216871820272989,FoVP,-0.033358572075176,0.724765489628717,2457257.70732549
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-23T06:49:40.532,5,-0.000313323071441988,-0.222091516134839,FoVF,-0.0305633311902975,0.724332282056225,2457257.78132932
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-23T11:03:20.570,3,0.00114632532328979,-0.234510009039159,FoVP,-0.0239358343807361,0.723258583254346,2457257.9574798
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-23T12:49:54.805,4,0.00178313115922523,-0.239724722101606,FoVF,-0.0211625389617447,0.72278976911095,2457258.03148408
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-23T17:03:34.935,1,0.00335441179532364,-0.252131009277056,FoVP,-0.0145879764556718,0.721632089742392,2457258.20763568
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-23T18:50:09.210,2,0.00403765449924966,-0.257340455572092,FoVF,-0.0118372023246674,0.721128321639064,2457258.28164044
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-08-24T00:50:23.756,1,0.00644713466818589,-0.274937818387569,FoVF,-0.00258916029355521,0.719350174699266,2457258.53179851
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-11-04T07:02:25.655,3,0.00345732260539889,-1.64509838333038,FoVF,-0.326343735780708,0.708371149330107,2457330.79070134
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-11-04T11:16:05.687,5,-0.00282304512406171,-1.65648047445885,FoVP,-0.320834791578454,0.712313902700826,2457330.96686882
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-11-23T23:22:48.964,5,-0.00316905075944034,-3.02882084451096,FoVP,0.572608497152996,0.708429405461143,2457350.47279957
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-11-24T01:09:23.155,4,0.000510262410698072,-3.03292287669016,FoVF,0.575141645615605,0.706897463795784,2457350.54681182
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2015-12-26T18:44:17.260,2,0.00407416871925166,-1.91086023927161,FoVF,-0.700974667522813,0.704690560319957,2457383.28202553
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2016-02-02T10:04:11.018,4,-0.00142829708802307,2.59555373781284,FoVP,0.446397254933656,0.702194474134273,2457420.92372142
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2016-02-02T11:50:45.223,3,0.0020515750806453,2.59985501929683,FoVF,0.442353913541773,0.70412745557142,2457420.99773312
KELT-6,3.42052874996162,0.534770233164276,13:03:55.647,+30:38:24.279,2016-02-12T23:57:03.012,1,0.00571814578031331,-2.94959647023444,FoVF,-0.249252333853543,0.710800869744925,2457431.50271443
