BJD RV eRV
2459638.798167 0 7.8
2459640.803143 5.7 8.5
2459647.901770 -30.5 7.7
2459650.882322 -18 7.8
2459656.756404 37.8 7.7
2459662.739474 28.8 7.6
2459698.689303 20 9.7
2459703.685927 37.8 9.1
2459716.681231 -1.1 10.3
2459720.678592 -21 10.8
2459723.683151 -10.9 11.8
2459729.685929 24.8 11.2
2459822.019650 212.5 7.9
2459825.000669 200.1 9.2
2459827.004468 186.4 8.4
2459831.998564 153.9 10.2
2459850.945055 235 7.7
2459852.962331 210.8 7.8
2459858.918770 182.9 7.9
2459863.925319 222.7 8.3
2459868.940071 261.9 7.7
2459873.947061 257.7 6.9
2459900.805350 207.7 9.2
2459903.880661 170.3 7
2459906.895891 197.3 8.3
2459910.791877 205.5 10.1
2459913.843048 248 6.9
2459929.872693 151.7 5.6
2459931.883288 174.5 5.9
2459964.900397 194.1 10.7
2459965.730187 175.6 6.8
2459966.706965 149.5 12.2
2459968.810077 178 8.3
2459969.715243 160.3 7.8
2459970.795047 152.8 8
2459971.713010 142.6 7.9
2459972.711943 120 7.9
2459976.013552 130 9.4
2459976.742448 117 6.1
2459983.870853 157.4 7.3
2459993.816766 128.8 6.5
2460059.665795 138.8 8
2460063.666801 134.1 7.6
2460064.668268 107.9 5.8
2460075.673304 90.3 6.4
2460076.676316 83.4 7.1
2460077.679583 96.3 7.7
2460078.676741 111.7 7.1
2460079.676306 122.6 7.1
2460080.674796 116.3 9.5
2460081.719219 119 8.3
2460082.683708 160.8 7.9
2460083.679226 126.4 6.5
2460084.680507 117.4 9.3
2460085.725536 113.9 9
2460086.726195 135.8 10.7
2460087.726738 104.2 8.2
2460091.729524 77.2 9
2460096.702127 65.4 8.6
