Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2014-09-15T13:44:42.849,2,0.0028786537282835998,-2.2155793697873665,FoVP,-0.4180995899974517,0.7175405735461542,2456916.070313637
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2014-09-15T15:31:17.074,5,-6.819734152860084E-4,-2.219521679723742,FoVF,-0.4159227764222829,0.71960404813812,2456916.1443267507
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2014-10-19T00:44:12.269,2,0.004306221712542162,-2.1133892328613464,FoVF,-0.7095345854351667,0.7123711893099004,2456949.531351779
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2014-11-24T10:17:50.988,2,0.0017397724859378194,2.6441254724611607,FoVP,0.4628528182193482,0.7070456922535556,2456985.9331159983
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2014-11-24T12:04:25.146,2,0.004929869794716796,2.648620442537831,FoVF,0.45900938351693304,0.7087415441178979,2456986.0071285325
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2014-12-05T06:11:05.240,1,0.006438840241105125,-2.871689580364305,FoVF,-0.1868893355182206,0.7089382487951975,2456996.7625815575
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2014-12-05T10:24:45.133,3,-1.4706343999890101E-5,-2.8602113889775374,FoVP,-0.19540533798229576,0.7045465822195967,2456996.9387501017
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2014-12-05T12:11:19.365,6,-0.002767872437808711,-2.855412683146682,FoVF,-0.19894570039013545,0.7026737715417056,2456997.0127626127
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-03-07T12:21:10.148,7,-0.005522369739132573,0.06368214453031118,FoVP,0.27331139080998806,0.7014082972765681,2457089.019483746
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-03-07T14:07:44.417,6,-0.0023127343587983247,0.06809462898588488,FoVF,0.2701393831921063,0.7035197272760377,2457089.0934861656
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-03-21T08:14:29.142,5,-5.594487413388605E-4,1.0001548023904843,FoVF,-0.5347520609956998,0.7077226436852837,2457102.8470807085
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-04-25T17:52:05.774,5,-0.003376308168207859,-0.5735423216869946,FoVP,0.706793181782781,0.7172763739899704,2457138.244860632
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-04-25T19:38:39.982,4,0.001844584048696204,-0.5745020944984702,FoVF,0.7071905154452617,0.7167203620681225,2457138.3188604913
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-09-09T08:13:42.156,1,0.006485143616633995,-2.339834987546652,FoVF,-0.272972026799806,0.7174201149210743,2457274.8399777375
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-09-09T12:27:22.294,3,-5.02060017264332E-5,-2.3506114307833057,FoVP,-0.2667338170889101,0.7217633228377068,2457275.016149565
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-09-09T14:13:56.482,6,-0.002774678860532656,-2.355151877872437,FoVF,-0.26408776421462127,0.7235742704024009,2457275.090161758
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-09-26T00:34:46.131,6,-0.005174915487412959,2.818678391833833,FoVP,0.5668033520146392,0.7202585873456535,2457291.5226263017
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-09-26T02:21:20.296,6,-0.0015444358756551845,2.814758689981677,FoVF,0.5696814600363463,0.7186396232235717,2457291.59663938
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2015-10-29T18:07:28.559,3,-6.026893769984516E-5,-2.1609746488379717,FoVP,-0.7013293549573756,0.7114180831136512,2457325.2569011915
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2016-03-15T07:24:13.289,5,-0.0023256534551177213,-0.19185502382342548,FoVP,0.4556920325415787,0.7050186719871978,2457462.812639526
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2016-04-04T13:24:53.220,4,-5.16544907319792E-4,1.043732365030354,FoVP,-0.6727907421598515,0.7103518184164581,2457483.061302519
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2016-09-17T15:21:00.976,2,0.0050683535340563,-2.1819472152098736,FoVF,-0.46825399418486235,0.7183116066282867,2457649.137445268
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2016-09-17T19:34:41.012,6,-0.004008903637553847,-2.1907770486692417,FoVP,-0.463422662958984,0.7232769344005235,2457649.313617552
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2016-10-10T19:33:34.375,4,-2.8895377777717686E-4,2.649317054547498,FoVP,0.6907243302517667,0.7164125581449557,2457672.3149300474
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2016-10-10T21:20:08.599,2,0.0047556607680468675,2.6474171204016756,FoVF,0.6920221897006558,0.7154600888360733,2457672.3889444247
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2016-11-08T03:02:51.855,2,0.004997327449451512,-2.243336804061003,FoVF,-0.6481858611619902,0.7116196975787812,2457700.629686597
