BJD RV eRV
2459130.38267 0 3.7
2459172.24841 -71 2.7
2459197.21288 -66.6 2.7
2459271.70104 -138.6 2.8
2459304.65169 -131 2.8
2459393.49349 -212.9 2.7
2459409.43280 -241.8 5.5
2459409.58150 -235.6 2.8
2459421.49170 -255 2.8
2459470.47645 -278.2 2.7
2459486.33414 -188.5 2.8
2459523.26700 -228 2.8
2459528.32153 -267.7 3.2
2459542.24834 -271.6 2.7
2459552.22664 -215.3 2.8
2459631.69274 -267.9 2.8
2459662.65615 -256.6 2.8
2459713.50327 -259.6 2.8
2459750.42851 -240 2.8
2459769.51990 -222.5 2.8
2459786.60066 -134.1 3.1
2459806.47617 -219.4 2.8
2459827.39876 -182.7 2.8
2459864.26360 -190.8 2.8
2459879.25186 -78.4 2.8
2459889.30119 -160 2.8
2459919.21796 -134.6 2.7
2460007.68158 -84.3 2.8
2460015.68644 -108.9 2.8
2460042.56447 -82.5 2.8
2460079.53749 -83.6 2.8
2460079.60783 -79.4 2.8
2460096.58176 -33.4 2.8
2460106.50179 -83.1 2.8
2460121.45408 9.1 2.8
2460139.45610 -86.7 2.8
2460154.48318 -40.4 2.8
2460169.36539 -101.1 2.8
2460176.47245 -21.5 2.7
2460188.39096 -86.3 3
2460213.37734 -60.9 2.8
2460221.30316 -127.9 2.8
2460231.31922 -138.4 2.8
2460245.29917 -114.2 2.8
