BJD RV eRV BIS
2459187.6430111 61637.700 10.400 -29.000
2459191.6669117 61585.300 10.000 -15.000
2459194.6038561 61527.400 10.200 -52.000
2459196.5715686 61512.200 9.300 -19.000
2459206.6072041 61513.600 11.100 -30.000
2459212.5850225 61528.700 10.600 13.000
2459216.6366852 61490.000 12.300 -86.000
2459219.6350660 61525.800 10.600 -3.000
2459222.5836743 61565.700 10.300 39.000
2459223.6228979 61523.600 11.400 12.000
2459485.7584124 61843.100 13.900 43.000
2459493.8380299 61575.200 13.900 -89.000
2459501.8092966 61646.700 9.600 -73.000
2459505.8004537 61772.500 9.500 -16.000
2459514.8221421 61729.200 9.500 -29.000
2459540.6806318 61722.500 11.100 -86.000
2459546.5911645 61791.800 16.600 -141.000
2459553.6105176 61857.500 10.200 -37.000
2459656.4996819 61785.500 19.500 -142.000
