BJD RV eRV BIS
2459225.5762851 61559.300 8.900 18.000
2459229.5574822 61555.700 12.700 -7.000
2459232.5606435 61568.100 12.700 29.000
2459244.5885841 61609.300 10.600 3.000
2459249.5470031 61596.000 14.200 -15.000
2459252.5321889 61617.200 10.500 1.000
2459257.5406962 61656.200 12.700 -19.000
2459260.5366339 61647.600 15.900 -22.000
2459251.5567625 61602.100 11.500 6.000
2459491.7923417 61675.400 23.800 43.000
2459504.6613020 61707.400 17.800 -20.000
2459534.7121374 61840.300 11.500 -18.000
2459561.7125116 61899.500 23.700 -39.000
2459597.6106865 61758.300 20.400 31.000
2459607.5700245 61780.200 12.700 -18.000
2459625.5622617 61820.400 17.800 0.000
2459859.7463690 61692.900 12.700 52.000
2459868.7984516 61712.800 9.600 -12.000
2459933.6462428 61819.600 15.500 0.000
2460224.8332078 61634.900 24.000 31.000
2460255.6262724 61567.900 14.200 3.000
