BJD RV eRV BIS
2458730.59024 61.4184 0.0187 -0.0798
2458797.43469 61.5845 0.0178 -0.0342
2458813.35391 61.5442 0.0146 -0.118
2458841.47453 61.443 0.021 -0.0448
2458857.44319 61.4338 0.0222 -0.0145
2458916.28201 61.3926 0.0431 -0.0637
2459109.65131 61.4391 0.0141 -0.0885
2459128.63863 61.4757 0.0216 -0.0743
2459180.52546 61.5918 0.0171 -0.0898
2459196.35305 61.4889 0.0136 -0.0813
2459202.49525 61.4766 0.0148 -0.1439
2459248.35429 61.5825 0.0162 -0.1216
2459279.33214 61.5978 0.0342 -0.1625
2459458.63502 61.77 0.0112 -0.062
2459470.62766 61.7294 0.0088 -0.1049
2459499.48431 61.6828 0.0123 -0.0875
2459506.45463 61.659 0.0171 -0.0747
2459522.56535 61.7506 0.0347 -0.0645
2459561.3125 61.8472 0.013 -0.0921
2459568.42547 61.7984 0.0152 -0.0793
2459587.30284 61.66 0.0228 -0.0921
2459604.24429 61.7569 0.0143 -0.1003
2459608.25057 61.7651 0.0158 -0.0565
2459622.31303 61.7208 0.0367 -0.0821
2459626.275 61.7504 0.0373 -0.1598
2459646.30602 61.8343 0.0247 -0.0876
2459827.59236 61.761 0.0176 -0.0799
2459838.56637 61.7949 0.0226 -0.0756
2459881.52128 61.6733 0.0181 -0.029
2459889.47907 61.6681 0.0149 -0.0851
2459930.46325 61.8041 0.0159 -0.0795
2459937.41218 61.7479 0.0185 -0.0686
2459973.33085 61.5884 0.0183 -0.1874
2459980.32242 61.6205 0.0471 -0.2007
2460008.2872 61.6837 0.0178 -0.0659
2460179.64656 61.5579 0.0131 -0.0451
2460186.57343 61.5378 0.0331 -0.0741
2460212.5682 61.6614 0.0127 -0.105
2460221.57676 61.6459 0.0212 -0.0497
2460231.58438 61.5558 0.0138 -0.0513
2460256.54147 61.4925 0.0142 -0.1107
2460282.38568 61.5826 0.0114 -0.0990
2460294.44127 61.5981 0.0151 -0.1061
2460300.42147 61.6179 0.0175 -0.0351
2460339.37695 61.4836 0.0145 -0.1120
2460355.29273 61.5183 0.0134 -0.1133
