BJD RV eRV FWHM contrast BIS exposure
2455535.622498 0 14.14 7.76355 37.811 0.00572 1800.679
2455563.633734 -370.17 16.75 7.83813 38.764 -0.01915 1800.736
2455565.620787 288.51 22.22 7.85708 29.332 0.06569 1800.743
2455583.571236 -146.16 18.33 7.764 37.735 -0.01908 1800.754
2455586.577359 -68.0500000000004 19.36 7.88629 36.602 0.03945 1800.755
2455588.564415 574.5 29.58 7.88939 36.377 0.10109 1800.756
2455591.537016 531.39 15.94 7.85784 37.219 0.01104 1800.759
2455593.534932 -46.5 20.59 7.8856 36.521 0.01531 1800.758
2455595.533798 522.57 24.07 7.86921 36.778 0.01591 1800.859
2455596.534633 11.7399999999996 14.54 7.89625 37.25 0.02008 1800.739
2455599.531272 193.2 22.46 7.82083 35.628 0.04899 1800.775
2455600.531357 63.7400000000001 26.05 7.81524 34.95 0.02073 1800.736
2455613.530286 37.1699999999997 31.26 7.75947 35.915 0.02255 1800.83
2455614.520174 581.92 37.51 7.98353 12.241 0.08784 1800.768
2455619.515487 278.87 38.29 7.8661 12.606 0.07253 1800.726
2455624.511532 573.02 46.68 7.99027 31.484 0.1601 1800.767
2455769.931969 695.8 32.11 7.83406 40.671 -0.0148 1800.816
2455770.81167 881.77 18.69 7.84814 40.222 0.05379 1800.797
2455772.921899 500.45 23.2 7.76734 20.208 0.03801 1800.748
2455777.849432 703.56 15.45 7.81802 39.166 -0.01838 1800.821
2455782.883847 494 15.39 7.75827 40.337 0.05484 1800.74
2455802.854702 573.55 16.59 7.79265 40.844 0.0048 1800.739
2455806.876427 895.32 13.52 7.7705 40.39 -0.00408 1800.777
2455809.812708 765.11 14.53 7.85935 40.282 -0.037 1800.739
2455810.864649 775.09 16.91 7.82177 40.031 0.00585 1800.798
2455811.834443 277.91 19.61 7.82148 39.929 -0.00983 1800.777
2455825.779642 453.2 13.42 7.83048 39.001 -0.0332 1800.718
2455826.823506 893.16 20.08 7.81726 39.82 -0.104 1800.818
2455834.845196 317.9 14.55 7.82559 40.42 0.02738 1800.758
2455852.655157 672.7 18.47 7.89498 39.01 -0.02472 1800.759
2455869.776795 922.2 15.11 7.84842 39.37 -0.03676 1800.736
2455887.72501 374.69 15.02 7.76766 39.004 0.02644 1800.754
2455889.585568 924.67 15.04 7.78976 38.829 -0.01253 1800.755
2455910.593618 544.17 14.46 7.80091 39.026 -0.05197 1800.778
2455952.575538 943.34 12.94 7.90378 38.024 0.02529 1800.688
2455974.534361 362.57 26.32 7.83726 38.734 -0.02393 1800.748
2456101.929818 891.23 25.43 7.87117 40.333 -0.02903 1800.799
2456108.902853 703.95 31.73 7.87649 39.586 0.02577 1800.94
2456130.92924 847.63 22.72 7.82397 39.617 -0.10018 1800.817
2456158.920126 512.13 24.91 7.83489 39.943 -0.04714 1800.781
2456165.794126 395.4 21.8 7.84562 35.852 -0.00917 1800.759
2456166.840915 574 17.55 7.86863 39.564 -0.03721 1800.777
2456182.742965 272.35 17.62 7.8328 38.786 0.04594 1800.798
2456184.735109 884.21 14.19 7.81771 39.385 -0.00971 1800.758
2456186.764241 577.21 17.35 7.89344 39.09 0.05377 1800.778
2456190.675191 921.65 22.95 7.9276 37.779 0.04893 1800.82
2456196.864653 674.85 13.09 7.83567 38.86 -0.021 2700.667
2456235.613045 299.52 25.45 7.83788 37.69 0.01474 1800.777
2456245.697375 325.34 15.18 7.90888 37.534 0.00491 1800.756
2456264.722841 540.26 16.31 7.8834 39.189 0.03949 1800.749
2456309.616625 772.08 16.19 7.91453 40.096 -0.039 1800.739
2456335.55164 451.87 25.99 8.01659 39.469 0.01497 1800.758
2456460.921265 302.86 18.61 7.87168 43.357 -0.00289 1800.756
2456490.864375 337.81 21.01 7.86144 40.429 -0.05535 1800.755
2456505.803479 857.38 16.77 7.88179 41.428 0.04581 1800.799
2456516.868634 279.51 22.59 7.86987 41.506 -0.04888 1800.857
2456538.754792 921.16 29.37 7.87498 40.897 0.01746 1800.779
2456543.888666 402.68 15.38 7.87143 39.824 0.02301 1800.763
2456544.693786 881.51 32.4 7.85548 41.04 0.06695 1800.802
2456545.715662 758.18 16.2 7.94485 37.812 -0.00368 1800.819
2456562.781196 445.98 14.17 7.82567 40.715 -0.00693 1800.786
2456563.802018 412.59 14.94 7.91152 40.932 0.00453 1800.836
2456565.713332 703.78 15.41 7.84101 40.339 0.00271 1800.777
2456567.702293 791.63 28.2 7.86619 41.893 0.03071 1800.775
2456591.740189 883.9 19.41 7.79994 39.462 0.00814 1800.719
2456603.739663 564.56 19.07 7.84847 40.983 0.01256 1800.779
2456644.683453 875.01 14.93 7.7601 38.6 -0.0197 1800.778
2456682.557464 288.02 19.57 7.85501 40.062 -0.00216 1800.77
2456817.930262 335.94 21.81 7.86074 41.914 0.01356 1602.786
2456877.826276 312.64 19.1 7.80224 38.824 0.01261 1800.058
2456878.777852 759.11 34.52 7.88373 34.977 0.04216 1800.685
2456920.870295 269.28 18.32 7.83603 39.391 -0.03675 1800.677
2456961.797598 847.07 17.81 7.78155 38.574 0.05712 1800.601
