BJD RV eRV FWHM contrast BIS exp
2455802.804248 0 14.28 6.35185 48.819 0.01421 900
2455802.902737 104.12 6.15 6.44231 49.068 0.01648 900
2455803.735877 407.39 5.92 6.43227 49.138 0.0263 900
2455803.876858 381.21 14.13 6.44454 48.445 0.03957 900
2455825.652716 -134.59 9.18 6.43519 50.675 -0.00062 900.006
2455825.842017 -32.6499999999998 6.95 6.4055 50.365 0.03042 900.006
2455826.656742 399.5 6.82 6.42903 50.419 0.03065 900.006
2455826.837326 431.91 4.07 6.45292 49.3 0.02401 900.006
2455827.646391 133.04 10.85 6.42916 48.557 0.03541 600
2455827.656368 132.83 6.78 6.46451 48.782 0.0124 900.006
2455827.669238 123.62 6.31 6.49718 48.731 0.0162 900.006
2455827.680986 137.22 6.34 6.46326 48.738 0.05819 900.001
2455827.692515 128.12 5.73 6.44915 49.065 0.00441 900.006
2455827.703846 101.93 5.61 6.42803 49.04 0.0146 900.006
2455827.715374 95.0200000000003 5.46 6.47191 48.934 0.01938 900.006
2455827.72681 86.57 5.36 6.45148 49.091 0.00973 900.001
2455827.738546 79.1300000000001 5.12 6.43309 49.178 0.00681 900.006
2455827.749681 59.9400000000001 5.12 6.4364 49.235 0.01215 900.006
2455827.761637 66.6700000000002 5.18 6.44554 49.108 0.02622 900.006
2455827.773177 69.6700000000003 4.38 6.43072 49.362 0.0261 900.006
2455827.784612 63.45 4.51 6.43123 49.319 0.01551 900.006
2455827.796036 52.2 4.14 6.44297 49.391 0.03097 900.006
2455827.807576 39.9100000000003 4.48 6.44773 49.167 0.01898 900.006
2455827.819324 32.33 4.54 6.43978 49.196 0.03451 900.006
2455827.83076 25.4099999999999 5.53 6.47049 48.899 0.00391 900.006
2455827.842091 25.4000000000003 5.23 6.47341 48.922 0.00081 900.006
2455828.639175 -224.27 6.13 6.47747 48.749 0.01814 900.006
2455828.88086 -167.73 4.32 6.47502 49.127 0.01328 900.006
2455831.640517 -197.08 4.9 6.49495 48.903 0.00429 900.006
2455831.862305 -221.71 3.67 6.44317 49.351 0.03159 900.006
2456108.91797 204.81 12.89 6.48511 48.048 0.01989 900
2456109.931976 -205.22 3.52 6.42686 49.455 0.01035 1800
2456158.807248 53.4400000000002 7.81 6.45609 48.928 0.02814 600
2456159.819284 -174.48 11.79 6.43642 49.04 0.01204 600.006
2456190.816064 420.39 7.46 6.4031 49.253 0.0224 899.999
2456191.70218 173.77 7.17 6.40858 49.055 0.05467 799.999
2456191.713245 175.27 5.84 6.40354 49.321 0.02801 900
2456191.724577 178.84 5.96 6.39529 49.155 0.05629 900
2456191.736348 147.49 6.17 6.41546 49.184 0.01366 899.999
2456191.747992 153.1 6 6.41604 49.269 0.01401 900
2456191.759624 150.32 5.65 6.37832 49.47 0.04169 900
2456191.77106 146.66 5.55 6.39147 49.478 0.02959 900
2456191.782391 132.31 5.34 6.39205 49.326 0.01126 900
2456191.794012 133.06 5.96 6.3907 49.423 0.03308 900
2456191.805748 129.46 5.35 6.392 49.398 0.01416 900.006
2456191.817172 109.24 4.64 6.40073 49.412 0.00858 899.999
2456191.828724 104.85 4.55 6.39737 49.586 0.01365 899.999
2456191.840043 85.28 5.29 6.4098 49.416 0.01943 900
2456191.851583 95.2800000000003 5.43 6.41797 49.15 0.03092 900.006
2456191.8631 93.3800000000002 5.26 6.40679 49.445 0.02901 900.006
2456191.874628 77.4500000000002 6.67 6.40276 49.074 0.02995 900.006
2456191.886168 74.3499999999999 7.61 6.47274 48.383 0.02179 900.006
2456191.897592 74.7400000000003 7.46 6.45821 48.542 0.03297 900.006
2456191.909027 51.85 7.17 6.48428 47.642 -0.00093 900
2456192.821879 -197.56 7.87 6.41754 48.966 0.05738 600.006
2456193.794605 307.94 12.78 6.43435 48.521 -0.07894 599.999
2456215.823377 -230.93 7.62 6.50823 48.183 0.00481 900
2456221.537217 127.84 16.91 6.51008 49.285 0.0256 899.999
2456239.59246 -0.55000000000005 8.51 6.45703 48.675 -0.00723 600.004
2456256.602476 271.61 11.22 6.44653 47.974 0.02296 600
2456257.580498 336.89 7.92 6.44921 48.513 0.02276 600.008
2456264.522496 173.84 6.3 6.42133 48.725 0.02209 700
2456264.535284 169.69 4.75 6.44658 49.066 0.03476 900
2456264.547494 161.66 4.43 6.45767 49.036 0.00891 900.001
2456264.559264 153.28 4.18 6.43897 49.154 0.01169 900.001
2456264.57122 154.36 4.15 6.45931 49.191 0.02381 900
2456264.583638 151.28 4.1 6.4396 49.306 0.02411 900.001
2456264.59535 145.15 3.91 6.43981 49.248 0.00984 900.001
2456264.607201 138.38 4.06 6.45517 49.099 0.04027 900.001
2456264.619145 127.24 3.92 6.43708 49.233 0.01867 900
2456264.630926 111.12 3.87 6.4362 49.161 0.01727 900.001
2456264.643541 102.24 4.19 6.45208 49.142 0.02687 900
2456264.655415 93.4900000000001 4.54 6.44031 48.969 -0.00318 900
2456264.667243 98.7100000000001 5.07 6.47638 48.785 0.02202 900.001
2456264.679106 91.1900000000001 5.26 6.45092 48.85 0.02116 900
2456264.700945 75.2300000000004 5.63 6.44897 48.77 -0.00597 900
2456307.533598 179.99 6.86 6.45089 48.804 0.01119 600.001
2456323.548244 416.67 9.31 6.50816 48.367 0.03162 600.001
2456460.933662 -192.54 11.42 6.50197 48.107 0.02895 600
2456567.891937 367.82 9.74 6.50537 48.057 0.03808 900
2456608.727539 177.51 12.33 6.50649 49.948 -0.01752 900.001
2456927.722485 -197.5 8.38 6.44451 50.116 0.04495 900.001
2456928.789883 361.68 5.59 6.43032 49.834 0.021 900.001
