TBJD PDCSAP ePDCSAP
1.354114444473278809e+03 3.317232812500000000e+04 2.234494781494140625e+01
1.354115833390232865e+03 3.317525781250000000e+04 2.233413887023925781e+01
1.354118611224139158e+03 3.314882812500000000e+04 2.231450653076171875e+01
1.354120000140627553e+03 3.320629296875000000e+04 2.236300849914550781e+01
1.354121389057581155e+03 3.317221093750000000e+04 2.234470558166503906e+01
1.354122777974534529e+03 3.316505078125000000e+04 2.234244728088378906e+01
1.354124166891022242e+03 3.321160937500000000e+04 2.235147285461425781e+01
1.354125555807976298e+03 3.319084765625000000e+04 2.234684944152832031e+01
1.354126944724930581e+03 3.315636718750000000e+04 2.233619308471679688e+01
1.354128333641418294e+03 3.318316406250000000e+04 2.234043502807617188e+01
1.354129722558371896e+03 3.315950390625000000e+04 2.233452033996582031e+01
1.354131111474859381e+03 3.320118750000000000e+04 2.233823585510253906e+01
1.354132500391812982e+03 3.318635937500000000e+04 2.234502983093261719e+01
1.354133889308301377e+03 3.320146093750000000e+04 2.234747314453125000e+01
1.354135278225254979e+03 3.318423437500000000e+04 2.234221649169921875e+01
1.354136667141742464e+03 3.313126953125000000e+04 2.232749176025390625e+01
1.354138056058696748e+03 3.318037500000000000e+04 2.234177589416503906e+01
1.354139444975184460e+03 3.318363671875000000e+04 2.234055709838867188e+01
1.354140833892138517e+03 3.318634375000000000e+04 2.234673309326171875e+01
1.354142222808626457e+03 3.313524609375000000e+04 2.233427429199218750e+01
1.354143611725579149e+03 3.316217578125000000e+04 2.232265472412109375e+01
1.354145000642067544e+03 3.315666406250000000e+04 2.234507942199707031e+01
1.354146389558555938e+03 3.318629296875000000e+04 2.234310150146484375e+01
1.354147778475509540e+03 3.313942187500000000e+04 2.232945442199707031e+01
1.354149167391997253e+03 3.316437109375000000e+04 2.234523582458496094e+01
1.354150556308484965e+03 3.319294921875000000e+04 2.234754943847656250e+01
1.354151945225439022e+03 3.316993359375000000e+04 2.234268379211425781e+01
