BJD RV eRV
2455833.506244 0 26.09
2455834.511338 -167.71 18.61
2455835.513064 -88.160000000002 26.06
2455851.553175 -200.020000000002 22.64
2455852.509304 -28.7900000000008 26.74
2455856.541346 -184.899999999999 26.13
2455859.50987 -196.530000000003 23.57
2455862.507592 -197.279999999999 27.26
2456050.916807 -331.26 20.97
2456067.826597 -436.620000000005 21.38
2456068.860596 -534.800000000004 25.16
2456069.893252 -398.099999999999 33.19
2456075.788615 -360.669999999999 27.61
2456076.818326 -580.110000000005 35.29
2456101.786777 -502.420000000001 28.7
2456103.782366 -562.440000000002 19.69
2456108.832891 -577.05 33.53
2456133.765892 -608.940000000004 26.43
2456135.751516 -492.070000000005 31.9
2456147.744152 -589.030000000001 41.44
2456151.718366 -415.669999999999 26.4
2456154.664701 -492.899999999999 55.36
2456158.595576 -605.900000000005 25.55
2456181.61746 -492.240000000002 13.67
2456182.616959 -657.630000000005 16.15
2456204.525708 -673.140000000004 26.55
2456230.518367 -498.989999999999 28.51
2456431.90205 -696.629999999999 20.9
2456455.806063 -576.76 28.7
2456487.786778 -592.379999999999 20.33
2456509.710623 -515.02 13.97
2456511.692477 -709.410000000005 22.25
2456518.621811 -569.600000000001 17.7
2456531.555446 -482.620000000004 32.02
2456547.652096 -437.130000000003 18.27
2456548.506904 -460.070000000002 15.34
2456556.531108 -393.509999999999 54.33
2456560.494763 -563.71 37.62
2456565.53377 -558.970000000002 19.49
2456573.536534 -500.410000000002 15
2456585.548076 -312.940000000005 16.94
2456595.517658 -365.44 17.39
2456602.513782 -106.470000000002 22.8
2456610.522915 -45.2200000000005 23.43
2456764.896812 1647.07 13.51
2456776.887472 1465.45 23.43
2456804.8152 1189.12 20.49
2456811.78574 1280.69 18.87
2456835.751223 1138.24 33.21
2456856.750436 863.54 16.8
2456886.668064 688.359999999996 19.26
2456920.621957 606.179999999995 21.71
2456954.527818 368.839999999999 24.59
