BJD RV eRV
2456403.902377 0 14.22
2456407.886489 -145.800000000001 12.61
2456438.878243 -12.6999999999953 16.74
2456454.847018 -115.589999999997 15.34
2456457.848776 -21.0599999999985 20.08
2456459.922794 -184.109999999997 13.86
2456510.582235 10.3200000000001 18.57
2456510.591263 53.2900000000041 13.41
2456510.601795 32.6400000000007 9.8
2456510.613242 17.3800000000028 9.57
2456510.624769 29.1300000000021 9
2456510.636309 22.4800000000016 9.3
2456510.647628 9.74000000000075 9.88
2456510.65926 9.56000000000046 9.85
2456510.67081 0.289999999999679 10.62
2456510.682546 2.2300000000044 11.57
2456510.693877 8.88000000000488 10.72
2456510.705324 10.8999999999995 12.84
2456510.717072 4.47000000000486 13.65
2456510.728495 -0.589999999995428 12.86
2456510.740046 -26.4799999999994 12.03
2456510.751689 -15.1899999999969 10.9
2456510.763124 0.420000000005416 10.73
2456510.774455 -0.160000000001048 10.39
2456510.786527 -29.6699999999959 13.8
2456511.701655 -64.2599999999973 10.49
2456564.490867 244.750000000003 12.46
2456565.479782 64.860000000003 15.38
2456736.904747 2141.74 19.96
2456761.912737 2209.87 13.94
2456801.852737 1830.74 37.52
2456927.561062 1099.55 12.15
