Target,ra[rad],dec[rad],ra[h:m:s],dec[d:m:s],ObservationTimeAtGaia[UTC],CcdRow[1-7],zetaFieldAngle[rad],scanAngle[rad],Fov[FovP=preceding/FovF=following],parallaxFactorAlongScan,parallaxFactorAcrossScan,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2014-09-23T17:20:16.678,1,0.00413298118469052,-0.512652267656008,FoVP,0.438851539793399,0.719033027136007,2456924.22667837
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2014-10-26T10:10:38.580,7,-0.00469514620983706,-0.996211582198912,FoVF,0.707039312006589,0.710299162907306,2456956.92549055
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2014-11-29T03:43:24.712,3,0.00327044570233869,0.203886555268512,FoVF,-0.543195758667104,0.704259277304508,2456990.65354081
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2014-11-29T07:57:04.700,6,-0.00496072001485056,0.193641186050939,FoVP,-0.536223101432584,0.707956769930368,2456990.82968374
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2014-12-15T08:04:32.560,6,-0.00372767887087202,-0.946301702897457,FoVP,0.243655312331798,0.705241363900772,2457006.83368651
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2014-12-15T09:51:06.728,5,-0.00117344911266501,-0.951224326695822,FoVF,0.246252493573687,0.70354428683254,2457006.90768826
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-04-21T02:16:43.027,6,-0.00489596484176954,-2.56138381536566,FoVP,-0.706755993035662,0.715353683621231,2457133.59530648
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-05-26T21:26:08.770,7,-0.00372502252157569,2.0258354180862,FoVF,0.572220485171056,0.721503841304366,2457169.39671257
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-06-11T03:32:23.987,1,0.0069136813697758,2.99276840410735,FoVF,-0.336407009419702,0.726108689514348,2457184.65219713
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-06-11T07:46:03.916,4,-0.00128510310588386,3.00207799131583,FoVP,-0.343781307005375,0.720854615987777,2457184.82836562
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-06-11T09:32:38.166,7,-0.00475985119054337,3.00596214905712,FoVF,-0.346845542230816,0.718632529294221,2457184.90237813
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-09-17T10:06:26.527,5,-0.0021554337691068,-0.316959234917475,FoVP,0.31858055767811,0.718938713569926,2457282.92588297
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-09-17T11:53:00.743,4,0.00125233184203325,-0.31287736347447,FoVF,0.315341228812098,0.72112328816457,2457282.99988504
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-10-01T17:59:20.782,4,0.00135976695197379,0.620373781498527,FoVF,-0.550679331768736,0.717193342323908,2457297.2532075
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-11-06T03:33:35.251,7,-0.00576178672603938,-1.06319925752946,FoVP,0.703545667460494,0.710897552568559,2457332.64878863
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2015-11-06T05:20:09.449,5,-0.000409781665992217,-1.06431263868246,FoVF,0.703881525237929,0.710367790544869,2457332.72278867
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2016-03-10T23:31:29.740,1,0.00557430575476451,-2.68860145735655,FoVF,-0.224062217745921,0.702061343332294,2457458.47731952
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2016-03-11T03:45:09.869,3,-0.000106712634103162,-2.70024813019676,FoVP,-0.217924861881079,0.705888049490272,2457458.65348956
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2016-03-11T05:31:44.057,6,-0.00247189748091154,-2.70515106667599,FoVF,-0.215323292309145,0.707481640916005,2457458.72750105
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2016-03-26T15:53:25.527,7,-0.00575441974773688,2.49477959095314,FoVP,0.519133480166186,0.711098768760801,2457474.16033748
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2016-03-26T17:39:59.673,6,-0.00262913248119586,2.49037983688351,FoVF,0.522138045634162,0.709603695698323,2457474.23434966
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2016-03-26T21:53:39.734,1,0.00493718834027268,2.47999991621228,FoVP,0.529228969749643,0.706038135279693,2457474.41052171
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2016-04-30T23:12:51.443,1,0.00673462800657197,-2.62533968714275,FoVF,-0.714572541383852,0.715848397052229,2457509.46861306
WASP-81,5.30942904692501,0.0574914286544942,20:16:49.890,+03:17:38.458,2016-05-01T03:26:31.462,7,-0.00585785460684293,-2.6256238881609,FoVP,-0.715108329457656,0.715146545206269,2457509.64478687
