jdb	vrad	svrad	fwhm	contrast	bis_span	exptime
55833.506244	-60.15011	0.02609	7.87708	28.619	-0.024940	1800.760
55834.511338	-60.31782	0.01861	8.06275	28.959	0.000510	1800.778
55835.513064	-60.23827	0.02606	7.95214	29.089	-0.107070	1800.742
55851.553175	-60.35013	0.02264	7.95814	26.734	-0.001950	1800.720
55852.509304	-60.17890	0.02674	7.99858	27.682	0.017490	1800.738
55856.541346	-60.33501	0.02613	7.94386	25.704	0.088070	1800.760
55859.509870	-60.34664	0.02357	7.88504	28.508	-0.007450	1800.780
55862.507592	-60.34739	0.02726	8.04740	28.210	0.025660	1800.736
56050.916807	-60.48137	0.02097	8.07575	29.178	-0.024740	1800.735
56067.826597	-60.58673	0.02138	8.03943	30.584	0.003550	1800.755
56068.860596	-60.68491	0.02516	8.05512	30.442	0.032450	1800.776
56069.893252	-60.54821	0.03319	8.04313	30.912	-0.074980	1800.735
56075.788615	-60.51078	0.02761	8.02011	30.192	-0.011210	1800.778
56076.818326	-60.73022	0.03529	8.07559	30.163	-0.049150	1800.798
56101.786777	-60.65253	0.02870	7.97893	30.248	-0.055700	1800.841
56103.782366	-60.71255	0.01969	8.04937	30.321	0.053270	1800.796
56108.832891	-60.72716	0.03353	8.05096	30.385	-0.067280	1800.796
56133.765892	-60.75905	0.02643	8.07510	30.056	-0.046890	1800.777
56135.751516	-60.64218	0.03190	8.09815	28.651	-0.142220	1800.753
56147.744152	-60.73914	0.04144	7.95476	26.863	-0.047380	2700.746
56151.718366	-60.56578	0.02640	7.99750	29.524	0.086710	2700.607
56154.664701	-60.64301	0.05536	8.11592	29.581	-0.057460	1800.799
56158.595576	-60.75601	0.02555	7.92280	30.002	-0.028690	1800.841
56181.617460	-60.64235	0.01367	7.97978	29.506	0.016270	2700.606
56182.616959	-60.80774	0.01615	7.95422	29.259	0.012570	2700.707
56204.525708	-60.82325	0.02655	8.06633	27.984	-0.014020	2700.603
56230.518367	-60.64910	0.02851	7.95769	22.694	-0.005470	2700.696
56431.902050	-60.84674	0.02090	7.98365	30.384	-0.009980	2700.679
56455.806063	-60.72687	0.02870	7.95465	29.802	-0.022730	1800.797
56487.786778	-60.74249	0.02033	7.98515	30.749	0.003280	2700.713
56509.710623	-60.66513	0.01397	7.95360	30.834	-0.022760	2700.732
56511.692477	-60.85952	0.02225	7.94794	30.979	0.016570	1800.741
56518.621811	-60.71971	0.01770	7.97615	30.608	0.009070	1620.506
56531.555446	-60.63273	0.03202	7.97035	29.748	0.008040	2700.637
56547.652096	-60.58724	0.01827	8.03302	30.090	0.023450	2700.599
56548.506904	-60.61018	0.01534	7.99134	28.749	-0.031960	2700.680
56556.531108	-60.54362	0.05433	8.01616	29.137	-0.010450	2700.631
56560.494763	-60.71382	0.03762	7.96320	29.254	0.012840	1800.774
56565.533770	-60.70908	0.01949	7.86719	29.094	-0.027110	2700.712
56573.536534	-60.65052	0.01500	7.97570	29.996	-0.003240	2700.713
56585.548076	-60.46305	0.01694	7.98314	29.017	0.052100	2700.649
56595.517658	-60.51555	0.01739	7.94433	29.102	0.009940	2700.571
56602.513782	-60.25658	0.02280	8.11640	27.697	0.026790	2700.797
56610.522915	-60.19533	0.02343	7.99369	28.294	0.073350	2700.613
56764.896812	-58.50304	0.01351	8.03570	30.083	0.009100	2700.766
56776.887472	-58.68466	0.02343	7.97764	30.796	0.027330	2700.763
56804.815200	-58.96099	0.02049	7.95361	30.061	-0.004760	2700.910
56811.785740	-58.86942	0.01887	8.04819	30.119	0.039300	2700.909
56835.751223	-59.01187	0.03321	8.10950	28.842	-0.030520	2700.800
56856.750436	-59.28657	0.01680	8.01407	29.501	-0.037120	2700.187
56886.668064	-59.46175	0.01926	7.92853	30.839	-0.033990	2700.767
56920.621957	-59.54393	0.02171	8.03739	27.815	-0.016030	2700.428
56954.527818	-59.78127	0.02459	7.99078	24.160	0.003790	2699.955
