jdb	vrad	svrad	fwhm	contrast	bis_span	logRhk	exptime
56403.902377	-60.75558	0.01422	6.77096	36.778	0.00282	-4.5026	600.000
56407.886489	-60.90138	0.01261	6.79512	36.264	0.02080	-4.9904	600.001
#6411.902064	-73.15969	0.09454	1.71111	2.286	789.3231	-4.3391	600.000
56438.878243	-60.76828	0.01674	6.81762	37.631	-0.00578	0.0000	900.000
56454.847018	-60.87117	0.01534	6.72971	36.706	-0.03163	-4.5769	600.001
56457.848776	-60.77664	0.02008	6.77591	36.474	0.00183	-4.8998	600.001
56459.922794	-60.93969	0.01386	6.78047	36.319	-0.02629	-4.6482	600.001
56510.582235	-60.74526	0.01857	6.81107	36.977	0.06192	-5.1550	600.001
56510.591263	-60.70229	0.01341	6.82417	36.599	0.00540	-4.7085	600.001
56510.601795	-60.72294	0.00980	6.75473	36.746	-0.00742	-4.8678	900.002
56510.613242	-60.73820	0.00957	6.85763	36.762	-0.01984	-4.8574	900.001
56510.624769	-60.72645	0.00900	6.77831	36.900	-0.03973	-4.8572	900.000
56510.636309	-60.73310	0.00930	6.79062	36.931	-0.04372	-4.8415	900.001
56510.647628	-60.74584	0.00988	6.77485	36.935	0.00680	-5.0261	900.001
56510.659260	-60.74602	0.00985	6.78777	37.029	0.00791	-5.0380	900.001
56510.670810	-60.75529	0.01062	6.81317	37.005	0.01163	-4.8874	900.001
56510.682546	-60.75335	0.01157	6.77487	37.079	-0.04139	-4.7392	900.000
56510.693877	-60.74670	0.01072	6.78601	36.671	-0.02780	-4.9557	900.002
56510.705324	-60.74468	0.01284	6.76216	36.814	0.02584	-4.7414	900.001
56510.717072	-60.75111	0.01365	6.77729	36.867	0.01253	-4.7217	900.001
56510.728495	-60.75617	0.01286	6.80405	36.945	-0.03819	-4.8408	900.001
56510.740046	-60.78206	0.01203	6.75481	37.010	-0.00396	-4.8697	900.000
56510.751689	-60.77077	0.01090	6.79623	36.943	-0.00076	-4.8492	900.001
56510.763124	-60.75516	0.01073	6.76794	37.020	-0.01169	-4.9515	900.001
56510.774455	-60.75574	0.01039	6.79067	36.959	0.00137	-4.8302	900.001
56510.786527	-60.78525	0.01380	6.74017	36.801	-0.01100	-4.8926	900.000
56511.701655	-60.81984	0.01049	6.77291	36.841	-0.03984	-5.0031	900.001
56564.490867	-60.51083	0.01246	6.78860	36.623	-0.02331	-4.6955	600.001
56565.479782	-60.69072	0.01538	6.75616	35.156	-0.01447	-4.6229	600.000
56736.904747	-58.61384	0.01996	6.74955	37.023	-0.06442	-4.8966	900.001
56761.912737	-58.54571	0.01394	6.80035	37.818	-0.03933	0.0000	900.001
56801.852737	-58.92484	0.03752	6.73650	39.960	0.02316	0.0000	900.001
56927.561062	-59.65603	0.01215	6.81727	37.578	-0.01936	-5.1153	900.002
