Target,ra[rad],dec[rad],ra[h:m:s],dec[d:m:s],ObservationTimeAtGaia[UTC],CcdRow[1-7],zetaFieldAngle[rad],scanAngle[rad],Fov[FovP=preceding/FovF=following],parallaxFactorAlongScan,parallaxFactorAcrossScan,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2014-08-31T10:05:18.087,7,-0.006285445121598,-2.54530481566131,FoVP,0.577406496704399,0.721427961724937,2456900.92385907
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2014-08-31T11:51:52.355,6,-0.00265654049920636,-2.54147824882584,FoVF,0.575675114156765,0.722982272965112,2456900.99786482
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2014-10-10T19:16:25.617,3,0.00144889552137621,-1.97434587298463,FoVP,0.693451898766704,0.715347709117254,2456941.30501712
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2014-10-10T21:02:59.797,1,0.00636317830500302,-1.97213408229675,FoVF,0.692752045804586,0.716146835760377,2456941.37902029
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2014-11-13T06:44:30.573,5,-0.00298022273184967,0.0825117892665557,FoVP,-0.696007170706786,0.707591020346645,2456974.78118656
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2014-12-05T18:37:59.714,5,-0.00317728036067618,-1.06630376202957,FoVP,0.635270235711001,0.705598596403296,2456997.2756489
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2014-12-05T20:24:33.922,3,0.00224007474949898,-1.06742874358975,FoVF,0.636821971317639,0.703960518904341,2456997.34965296
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-01-14T01:10:38.902,3,0.00352863724273635,1.02938190513968,FoVF,-0.51299995320271,0.698497652255148,2457036.54726485
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-01-28T19:14:46.197,7,-0.00362497230382827,0.0895696025826366,FoVF,0.490325459904731,0.706100428155865,2457051.30005046
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-03-10T04:10:04.303,4,-0.000551634950880798,2.18502546671189,FoVP,-0.604094240697925,0.705557893123565,2457091.67252877
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-05-05T15:27:40.736,2,0.00302675313355067,3.13849491003781,FoVP,-0.711471957574326,0.721384858102725,2457148.14565985
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-05-05T17:14:14.942,6,-0.00201546296593291,3.14006640099022,FoVF,-0.711798694606715,0.721024515787001,2457148.21967055
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-06-09T09:06:48.260,5,-0.00223059485809753,2.163916065837,FoVP,0.641915040551096,0.720778076823515,2457182.88271315
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-06-09T10:53:22.473,4,0.00165241169322771,2.16739533718453,FoVF,0.640167684709261,0.722122531162965,2457182.95672299
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-07-07T10:53:49.406,3,0.00264818914844604,-2.26648588540965,FoVF,-0.542503614417942,0.729006301049961,2457210.95782893
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-07-07T15:07:29.467,6,-0.00512596887925661,-2.25686270691299,FoVP,-0.546988183580205,0.725299685395881,2457211.13399017
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-08-22T04:32:10.026,6,-0.00205286209140597,-2.68915227894759,FoVF,0.54872974661592,0.723162068464739,2457256.6927503
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-09-18T22:31:51.380,2,0.0042295376889828,-0.830567562557745,FoVF,-0.636660345911786,0.721345818111594,2457284.44171234
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-09-19T02:45:31.414,6,-0.00531296060896202,-0.822236772096149,FoVP,-0.640801698290838,0.718150229680764,2457284.61786333
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-10-22T14:23:54.311,6,-0.00513277547470293,-1.81124567201233,FoVP,0.710821041746183,0.712239363787053,2457318.10132233
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-10-22T16:10:28.535,5,6.59145608154405e-05,-1.80969674172499,FoVF,0.710519782676229,0.712560919476619,2457318.17532583
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-11-26T09:29:04.956,1,0.00611737645791407,0.267728718193803,FoVF,-0.670543287779686,0.705606422656811,2457352.89488401
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-11-26T13:42:44.971,7,-0.00685735695226034,0.265729146067766,FoVP,-0.666884506612442,0.708576423057757,2457353.07103373
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-12-16T19:39:53.690,2,0.00173304638076543,-0.851019966156303,FoVP,0.598270747103455,0.706118148892245,2457373.3182499
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2015-12-16T21:26:27.926,1,0.00701365977448262,-0.852718650282899,FoVF,0.600288619179531,0.704173779871973,2457373.39225476
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-01-25T18:20:53.213,4,-0.000494183767861508,1.24788646810214,FoVP,-0.501004366481822,0.699678893245178,2457413.26264648
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-02-09T12:24:57.400,6,-0.0039093195719421,0.309569774614737,FoVP,0.5027935694015,0.708192685004719,2457428.01554503
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-02-09T14:11:31.593,4,0.000698255875468485,0.306529995589135,FoVF,0.506043029472292,0.705981035756933,2457428.08955273
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-03-20T06:58:39.159,2,0.00490026943746144,2.40150013816617,FoVF,-0.644894472445323,0.705460222208084,2457467.79001744
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-04-12T17:06:00.143,2,0.00234873547208584,1.24932160233461,FoVP,0.704582908232743,0.711301530253031,2457491.21284742
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-05-16T22:35:40.683,5,-0.00242121130181465,-2.97771121592598,FoVP,-0.696036588095935,0.720994053329399,2457525.44347693
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-06-23T22:13:12.223,2,0.00190131046163858,2.46720767456621,FoVP,0.585613113024757,0.722986736543705,2457563.42932984
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-06-23T23:59:46.384,2,0.00524980410783393,2.47118622459753,FoVF,0.583578036957347,0.724438939822662,2457563.50333835
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-07-20T12:04:09.348,1,0.00541788055824198,-2.03538592851375,FoVF,-0.51115200185752,0.728983549278311,2457590.00684084
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-07-20T16:17:49.301,4,-0.0016577977027213,-2.02522090033486,FoVP,-0.516018601288607,0.725392083995643,2457590.18299888
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-07-20T18:04:23.557,7,-0.0046522689366936,-2.02096546853677,FoVF,-0.518052646116729,0.723882062924668,2457590.25700696
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-09-03T11:42:06.280,7,-0.00449670451446242,-2.4911230499794,FoVF,0.59251842007087,0.718399031511749,2457634.99099661
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-09-03T15:55:46.302,1,0.00438272707123904,-2.48222395910591,FoVP,0.588573639633822,0.722105500942712,2457635.16714909
HD222237,6.19427440753727,-1.26924103151927,23:39:37.387,-72:43:19.755,2016-10-02T17:35:40.363,4,0.00184016475014673,-0.561898335719511,FoVF,-0.678020946064922,0.720165001522629,2457664.23541371
