TBJD PDCSAP ePDCSAP
1.325298660391642670e+03 5.849738750000000000e+05 8.359824371337890625e+01
1.325300049280959456e+03 5.851563125000000000e+05 8.364133453369140625e+01
1.325301438170275333e+03 5.849411250000000000e+05 8.363062286376953125e+01
1.325302827059592573e+03 5.850705000000000000e+05 8.364078521728515625e+01
1.325304215948909359e+03 5.848881250000000000e+05 8.363800811767578125e+01
1.325305604838225236e+03 5.850255625000000000e+05 8.364626312255859375e+01
1.325306993727542476e+03 5.850511250000000000e+05 8.364495086669921875e+01
1.325308382616859262e+03 5.851047500000000000e+05 8.365560913085937500e+01
1.325309771506175593e+03 5.849668750000000000e+05 8.364443969726562500e+01
1.325311160395492834e+03 5.849954375000000000e+05 8.364173889160156250e+01
1.325312549284808938e+03 5.850971250000000000e+05 8.365409851074218750e+01
1.325313938174125497e+03 5.850458125000000000e+05 8.364697265625000000e+01
1.325315327063442737e+03 5.848673750000000000e+05 8.363928985595703125e+01
1.325316715952759523e+03 5.849806250000000000e+05 8.364441680908203125e+01
1.325318104842075854e+03 5.851138750000000000e+05 8.365306854248046875e+01
1.325319493731392640e+03 5.848779375000000000e+05 8.364295196533203125e+01
1.325320882620709881e+03 5.848664375000000000e+05 8.363686370849609375e+01
1.325322271510026667e+03 5.849448125000000000e+05 8.364221191406250000e+01
1.325323660399342543e+03 5.849914375000000000e+05 8.365353393554687500e+01
1.325325049288659784e+03 5.848647500000000000e+05 8.363991546630859375e+01
1.325326438177976570e+03 5.849499375000000000e+05 8.364390563964843750e+01
1.325327827067292446e+03 5.850074375000000000e+05 8.365200805664062500e+01
1.325329215956609687e+03 5.850033125000000000e+05 8.365615844726562500e+01
1.325330604845926018e+03 5.849018750000000000e+05 8.364946746826171875e+01
1.325331993735242122e+03 5.849444375000000000e+05 8.364883422851562500e+01
1.325333382624559590e+03 5.849074375000000000e+05 8.364971923828125000e+01
1.325334771513876831e+03 5.849543125000000000e+05 8.365357208251953125e+01
1.325336160403193162e+03 5.849397500000000000e+05 8.365045928955078125e+01
1.325337549292509948e+03 5.849757500000000000e+05 8.365370941162109375e+01
1.325338938181826734e+03 5.848906875000000000e+05 8.364907073974609375e+01
1.325340327071143065e+03 5.848818750000000000e+05 8.365075683593750000e+01
1.325341715960692682e+03 5.849030625000000000e+05 8.365102386474609375e+01
1.325343104850009013e+03 5.848850000000000000e+05 8.365000915527343750e+01
1.325344493739325799e+03 5.849318750000000000e+05 8.365420532226562500e+01
1.325345882628642585e+03 5.848906875000000000e+05 8.365085601806640625e+01
1.325347271517959825e+03 5.849030000000000000e+05 8.365131378173828125e+01
1.325348660407277066e+03 5.849036875000000000e+05 8.365433502197265625e+01
1.325350049296592942e+03 5.849276250000000000e+05 8.365735626220703125e+01
1.325351438185909728e+03 5.848413750000000000e+05 8.364933776855468750e+01
1.325352827075226969e+03 5.849615000000000000e+05 8.365602874755859375e+01
1.325354215964775676e+03 5.849934375000000000e+05 8.366012573242187500e+01
1.325355604854092007e+03 5.848104375000000000e+05 8.364830017089843750e+01
1.325356993743409475e+03 5.847624375000000000e+05 8.363705444335937500e+01
1.325358382632726034e+03 5.849813750000000000e+05 8.366394042968750000e+01
1.325359771522042820e+03 5.850147500000000000e+05 8.366692352294921875e+01
1.325361160411359151e+03 5.848708125000000000e+05 8.365805053710937500e+01
1.325362549300908768e+03 5.849940625000000000e+05 8.366458892822265625e+01
1.325363938190225554e+03 5.849901875000000000e+05 8.366257476806640625e+01
1.325365327079541885e+03 5.849151250000000000e+05 8.366149139404296875e+01
1.325366715968859125e+03 5.850424375000000000e+05 8.366821289062500000e+01
1.325368104858175911e+03 5.850050625000000000e+05 8.366381072998046875e+01
1.325369493747492470e+03 5.848611250000000000e+05 8.365689849853515625e+01
1.325370882637042769e+03 5.849573125000000000e+05 8.366043090820312500e+01
1.325372271526358645e+03 5.849968125000000000e+05 8.366741943359375000e+01
1.325373660415674976e+03 5.849423750000000000e+05 8.365156555175781250e+01
1.325375049304992444e+03 5.849495000000000000e+05 8.366479492187500000e+01
1.325376438194541379e+03 5.850031875000000000e+05 8.365872955322265625e+01
1.325377827083857710e+03 5.851233750000000000e+05 8.367847442626953125e+01
1.325379215973174951e+03 5.849709375000000000e+05 8.366670227050781250e+01
1.325380604862491737e+03 5.850071875000000000e+05 8.365729522705078125e+01
1.325381993751808295e+03 5.849826875000000000e+05 8.366353607177734375e+01
1.325383382641357684e+03 5.849666250000000000e+05 8.366467285156250000e+01
1.325384771530674925e+03 5.849885000000000000e+05 8.366020965576171875e+01
1.325386160419991711e+03 5.847989375000000000e+05 8.365267944335937500e+01
1.325387549309307587e+03 5.850768750000000000e+05 8.367665863037109375e+01
1.325388938198857659e+03 5.850811875000000000e+05 8.366962432861328125e+01
1.325390327088174445e+03 5.847842500000000000e+05 8.365642547607421875e+01
1.325391715977490776e+03 5.848651250000000000e+05 8.366529846191406250e+01
1.325393104866808017e+03 5.849755625000000000e+05 8.367050933837890625e+01
1.325394493756356951e+03 5.848359375000000000e+05 8.366213989257812500e+01
1.325395882645673510e+03 5.850307500000000000e+05 8.367208099365234375e+01
1.325397271534990750e+03 5.850038125000000000e+05 8.367006683349609375e+01
