BJD RV eRV
2456648.790972 0 2.48
2457650.831935 -117.42 2.52
2457701.755463 -116.209999999999 2.76
2457739.668036 -110.690000000001 3.65
2457771.649819 -120.369999999999 2.76
2458023.86325 -126.73 2.79
2458039.871564 -119.65 2.65
2458067.711941 -111.379999999999 2.59
2458068.726241 -110.18 2.61
2458105.594616 -118.809999999999 11.13
2458118.694564 -103.68 2.93
2458368.90422 191.15 2.4
2458369.827347 198.01 1.82
2458370.842828 194.32 1.86
2458371.856224 203.09 1.82
2458372.8235 202.92 1.94
2458375.825311 215.950000000001 1.93
2458376.910227 216.91 3.1
2458378.833191 216.610000000001 1.84
2458414.871054 268.24 2.06
2458417.86628 260.800000000001 2.95
2458427.74937 258.51 2.55
2458451.645712 248.219999999999 2.48
2458468.609599 225.34 2.89
2458493.615334 196.67 3.04
2458542.595645 143.309999999999 2.86
2458745.901076 12.130000000001 4.26
2458756.891195 15.6200000000008 3.15
2458802.772857 -1.95999999999913 3.82
2458844.690365 -12.3799999999992 3.23
2458855.703833 -21.5799999999999 4.42
2458891.543187 -29.1700000000001 2.94
