BJD RV eRV FWHM BIS Sind eSind Halpha eHalpha
2458367.869454 10874.79 0.26 8726.89 -0.035 0.157607 2.9e-05 0.190834 1.4e-05
2458367.871444 10876.16 0.24 8727.41 -0.0349 0.158518 2.5e-05 0.191048 1.2e-05
2458367.873341 10875.78 0.25 8726.28 -0.0347 0.157664 2.6e-05 0.190987 1.3e-05
2458367.875278 10875.1 0.22 8728.95 -0.0347 0.158364 2.1e-05 0.190946 1.1e-05
2458367.877241 10876.17 0.23 8726.97 -0.0351 0.157987 2.4e-05 0.190703 1.2e-05
2458367.87922 10876.25 0.26 8727.6 -0.0356 0.157907 2.8e-05 0.190968 1.3e-05
2458368.885294 10877.38 0.24 8725.77 -0.0352 0.1572 2.6e-05 0.190745 1.2e-05
2458368.887256 10879.03 0.22 8727.59 -0.0356 0.159076 2.2e-05 0.19055 1.1e-05
2458368.889181 10878.32 0.21 8726.25 -0.0353 0.158675 2.1e-05 0.190617 1.1e-05
2458368.891134 10877.81 0.21 8728.99 -0.035 0.159017 2e-05 0.190743 1e-05
2458368.893124 10877.18 0.2 8727.86 -0.0347 0.159138 1.8e-05 0.19047 1e-05
2458368.89504 10878.6 0.2 8729.24 -0.0361 0.158953 1.8e-05 0.190658 1e-05
2458369.868415 10876.85 0.2 8729.65 -0.0348 0.158706 1.9e-05 0.191024 1e-05
2458369.87037 10878.46 0.21 8730.94 -0.0355 0.159557 1.9e-05 0.190838 1e-05
2458369.872305 10877.77 0.21 8728.54 -0.0351 0.158193 2e-05 0.190987 1e-05
2458369.874255 10877 0.2 8731.63 -0.0358 0.159173 1.8e-05 0.190936 1e-05
2458369.876177 10878.38 0.19 8730.41 -0.0349 0.159348 1.6e-05 0.190886 9e-06
2458369.878117 10876.8 0.2 8732.99 -0.0349 0.159492 1.8e-05 0.190935 1e-05
2458369.880032 10878.82 0.2 8731.51 -0.0356 0.159549 1.8e-05 0.190902 9e-06
2458369.881926 10877.13 0.2 8731.62 -0.0345 0.159125 1.9e-05 0.191276 1e-05
2458369.883863 10879.3 0.2 8728.47 -0.0353 0.159371 1.9e-05 0.191127 1e-05
2458369.885842 10877.04 0.2 8730.72 -0.0345 0.159376 1.7e-05 0.191343 9e-06
2458369.887783 10879.12 0.21 8728.96 -0.0346 0.159089 1.9e-05 0.190969 1e-05
