Target,ra[rad],dec[rad],ra[h:m:s],dec[d:m:s],ObservationTimeAtGaia[UTC],CcdRow[1-7],zetaFieldAngle[rad],scanAngle[rad],Fov[FovP=preceding/FovF=following],parallaxFactorAlongScan,parallaxFactorAcrossScan,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2014-08-26T11:57:42.545,6,-0.00264550752744052,2.00152867781376,FoVF,0.710761737791924,0.724877820556565,2456896.00013416
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2014-10-05T19:10:41.637,5,-0.00299918346340031,2.66274173157481,FoVP,0.712899631840371,0.716471365443529,2456936.29987677
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2014-10-05T20:57:15.848,3,0.00228383160451331,2.66372318131626,FoVF,0.71305942275769,0.716262810905351,2456936.37388207
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2014-12-03T12:19:01.041,1,0.00380627786527576,-2.57742358896887,FoVP,0.668791660138243,0.704172055244866,2456995.01292508
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2015-01-09T05:20:30.754,2,0.0018483360075269,-0.389408433777583,FoVP,-0.665028622643819,0.699075527880248,2457031.72223575
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2015-01-09T07:07:04.961,7,-0.00367795498779607,-0.389979369889547,FoVF,-0.663701143496469,0.700362113094122,2457031.79624322
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2015-01-31T11:14:14.981,3,0.000169022913211659,-1.51026179443008,FoVP,0.672699545745218,0.704635110481306,2457053.96811678
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2015-01-31T13:00:49.193,1,0.00569803070961065,-1.51052541755583,FoVF,0.673856861778354,0.703597656573143,2457054.04212494
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2015-03-08T04:25:59.386,2,0.0023460027347485,0.661838093814894,FoVP,-0.703859636446657,0.704850160516119,2457089.68529819
HD39091,1.47115888643918,-1.40445110256099,05:37:09.887,-80:28:08.835,2015-03-08T06:12:33.596,6,-0.00305745090006654,0.662581696234969,FoVF,-0.703517897382041,0.705247725484393,2457089.75930697
