TBJD PDCSAP ePDCSAP
1.325296983284608132e+03 1.436028750000000000e+06 1.303483276367187500e+02
1.325298372154134313e+03 1.436976375000000000e+06 1.307506103515625000e+02
1.325299761023659585e+03 1.436883875000000000e+06 1.307842254638671875e+02
1.325301149893186221e+03 1.436904500000000000e+06 1.308381805419921875e+02
1.325302538762828817e+03 1.437262250000000000e+06 1.309001007080078125e+02
1.325303927632354089e+03 1.437337375000000000e+06 1.309246673583984375e+02
1.325305316501997140e+03 1.437103250000000000e+06 1.309038848876953125e+02
1.325306705371523321e+03 1.437271875000000000e+06 1.308994140625000000e+02
1.325308094241165463e+03 1.437558375000000000e+06 1.309445648193359375e+02
1.325309483110808515e+03 1.437466625000000000e+06 1.309116821289062500e+02
1.325310871980334014e+03 1.437490750000000000e+06 1.310051574707031250e+02
1.325312260849976383e+03 1.436943375000000000e+06 1.308559417724609375e+02
1.325313649719619434e+03 1.437104750000000000e+06 1.308994750976562500e+02
1.325315038589262031e+03 1.437368875000000000e+06 1.309993286132812500e+02
1.325316427458904172e+03 1.437189375000000000e+06 1.309186706542968750e+02
1.325317816328546769e+03 1.436949500000000000e+06 1.309326629638671875e+02
1.325319205198189820e+03 1.436772750000000000e+06 1.308710021972656250e+02
1.325320594067832417e+03 1.437405750000000000e+06 1.309519500732421875e+02
1.325321982937474104e+03 1.436944250000000000e+06 1.309439544677734375e+02
1.325323371807117155e+03 1.437133375000000000e+06 1.309472503662109375e+02
1.325324760676759752e+03 1.437101000000000000e+06 1.309480285644531250e+02
1.325326149546517854e+03 1.437049875000000000e+06 1.309882202148437500e+02
1.325327538416160905e+03 1.436981125000000000e+06 1.309156951904296875e+02
1.325328927285803047e+03 1.436648000000000000e+06 1.309103240966796875e+02
1.325330316155561377e+03 1.437107125000000000e+06 1.309308776855468750e+02
1.325331705025204656e+03 1.436916375000000000e+06 1.309470367431640625e+02
1.325333093894964122e+03 1.436804750000000000e+06 1.309266815185546875e+02
1.325334482764606264e+03 1.436681500000000000e+06 1.308926239013671875e+02
1.325335871634365276e+03 1.436764875000000000e+06 1.309217681884765625e+02
1.325337260504124288e+03 1.436827125000000000e+06 1.309718322753906250e+02
1.325338649373766430e+03 1.436476125000000000e+06 1.309106445312500000e+02
1.325340038243525441e+03 1.436948625000000000e+06 1.309366607666015625e+02
1.325341427113283999e+03 1.436222500000000000e+06 1.309355316162109375e+02
1.325342815983043010e+03 1.437120000000000000e+06 1.309769744873046875e+02
1.325344204852802022e+03 1.436560125000000000e+06 1.309113922119140625e+02
1.325345593722561489e+03 1.436238000000000000e+06 1.309401550292968750e+02
1.325346982592320956e+03 1.436460625000000000e+06 1.309281311035156250e+02
1.325348371462079058e+03 1.436248875000000000e+06 1.309358978271484375e+02
1.325349760331838070e+03 1.436012750000000000e+06 1.309223480224609375e+02
1.325351149201597536e+03 1.436521250000000000e+06 1.309590301513671875e+02
